Command	Level
s	i{50}
server.shutdown	50
server.error	
server.who	
server.getMissionBoardId	
server.getPlanetId	
server.memUsage	
server.clock	
server.releaseAuth	
server.showObjectSpheres	
server.showTriggerSpheres	
server.listenForMessage	
server.snapAllObjectsToTerrain	
server.getSceneId	
server.setGodMode	5
server.reloadCommandTable	50
server.reloadAdminTable	50
server.reloadTable	15
server.dataTableGetString	
server.reloadTerrain	
server.listRegions	
server.messageCount	
server.setPublic	16
server.profiler	
server.setFrameRateLimit	
server.testStructurePlacement	
server.setDebugFlag	
server.validateWorld	
server.setUniverseProcess	
server.getRegionsAt	
server.enableNewJedi	
server.startSave	5
server.saveBuildoutArea	
server.clientSaveBuildoutArea	
server.destroyPersistedBuildoutAreaDuplicates	
server.dumpCreatures	
script.attach	5
script.detach	
script.list	5
script.pause	
script.reload	15
script.triggerAll	
script.triggerOne	
script.scriptingEnabled	
script.enableLogging	
resource.activate	
resource.addtocontainer	10
resource.fillcontainer	10
resource.checktree	
resource.deactivate	
resource.discardHopper	
resource.getSurveyList	
resource.harvest	
resource.name	
resource.pools	
resource.removefromcontainer	10
resource.spawntree	
resource.survey	
resource.tree	
resource.viewcontainer	
objvar.set	5
objvar.setlist	15
objvar.get	10
objvar.list	5
objvar.remove	5
object.addLocationTarget	
object.authority	
object.create	
object.cellCreate	
object.count	
object.createAt	5
object.createManyAt	
object.createIn	5
object.createTranslateRotate	
object.cellCreateTranslateRotate	
object.setInterestRadius	
object.createTriggerVolume	
object.destroy	10
object.find	5
object.fixHouseItemLimit	10
object.getHeight	
object.getInventoryId	5
object.getDatapadId	5
object.getServerTemplate	
object.getProxyList	
object.gotoObject	5
object.isIncapacitated	5
object.isProxy	5
object.listVolumeContainer	
object.loadContents	15
object.move	5
object.moveToMe	5
object.persist	15
object.planetWarp	5
object.reloadServerTemplate	
object.removeLocationTarget	
object.removeTriggerVolume	
object.renamePlayer	5
object.rotate	5
object.scaleMovement	
object.scaleSize	
object.setName	5
object.snap	
object.spawn	5
object.stopWatching	
object.triggerVolumes	
object.watch	
object.watchAIPath	
object.watchPathMap	
object.unstick	15
object.attribs	
object.enqueueCommand	
object.hide	5
object.getAttributes	
object.createPathNodes	
object.destroyPathNodes	
object.reloadPathNodes	
object.setPathLinkDistance	
object.markCityEntrance	
object.unmarkCityEntrance	
object.setOwner	5
object.getOwner	5
object.askConsent	
object.debugFar	
object.buildingObserve	
object.addJediSlot	
object.makeSpectral	
object.getHibernating	5
object.getBehavior	5
object.getStandingOn	5
object.getBattlefieldMarkerRegionName	
object.setBattlefieldMarkerRegionName	
object.unload	
object.moveToPlayerAndUnload	5
object.restoreHouse	5
object.restoreCharacter	4
object.deletePersistedContents	5
object.moveHouseItemToMe	5
object.reinitializevendor	5
object.setAdminTitle	5
npc.hail	
npc.goodbye	
npc.respond	
bank.balance	5
bank.bankTransfer	15
bank.cashTransfer	15
bank.deposit	15
bank.namedTransfer	
bank.withdraw	15
manufacture.addIngredient	
manufacture.removeIngredient	
manufacture.listIngredients	
manufacture.addSchematic	
manufacture.removeSchematic	
manufacture.listSchematic	
manufacture.start	
manufacture.stop	
manufacture.getObjects	
manufacture.listObjects	
default.serverhelp	5
craft.draft	
craft.fillslot	
craft.nextstage	
craft.experiment	
craft.customize
craft.makeprototype
craft.makeschematic
craft.stop
craft.enableSchematicFilter
craft.disableSchematicFilter
