weapon_id	weapon1	weapon2	weapon3	weapon4
s	s	s	s	s
pirate_rifle	object/weapon/ranged/rifle/rifle_laser.iff	object/weapon/ranged/rifle/rifle_sg82.iff	object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff
pirate_carbine	object/weapon/ranged/carbine/carbine_laser.iff	object/weapon/ranged/carbine/carbine_ee3.iff	object/weapon/ranged/carbine/carbine_elite.iff	
pirate_pistol	object/weapon/ranged/pistol/pistol_d18.iff	object/weapon/ranged/pistol/pistol_fwg5.iff	object/weapon/ranged/pistol/pistol_striker.iff	object/weapon/ranged/pistol/pistol_srcombat.iff
pirate_rifle_low_level	object/weapon/ranged/rifle/rifle_laser.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff		
pirate_carbine_low_level	object/weapon/ranged/carbine/carbine_laser.iff	object/weapon/ranged/carbine/carbine_dh17.iff		
pirate_pistol_low_level	object/weapon/ranged/pistol/pistol_d18.iff	object/weapon/ranged/pistol/pistol_striker.iff		
pirate_rifle_low_level	object/weapon/ranged/rifle/rifle_laser.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff		
pirate_carbine_low_level	object/weapon/ranged/carbine/carbine_laser.iff	object/weapon/ranged/carbine/carbine_dh17.iff		
pirate_pistol_low_level	object/weapon/ranged/pistol/pistol_d18.iff	object/weapon/ranged/pistol/pistol_striker.iff		
pirate_sword	object/weapon/melee/sword/sword_blade_ryyk.iff	object/weapon/melee/axe/axe_vibroaxe.iff	object/weapon/melee/knife/knife_vibroblade.iff	object/weapon/melee/axe/axe_heavy_duty.iff
pirate_polearm	object/weapon/melee/polearm/lance_staff_metal.iff	object/weapon/melee/polearm/lance_vibrolance.iff	object/weapon/melee/polearm/polearm_vibro_axe.iff	
pirate_unarmed	object/weapon/melee/special/vibroknuckler.iff	unarmed		
rebel_rifle	object/weapon/ranged/rifle/rifle_dlt20a.iff	object/weapon/ranged/rifle/rifle_laser.iff	object/weapon/ranged/rifle/rifle_sg82.iff	object/weapon/ranged/rifle/rifle_t21.iff
rebel_carbine	object/weapon/ranged/carbine/carbine_dh17.iff	object/weapon/ranged/carbine/carbine_dh17_black.iff	object/weapon/ranged/carbine/carbine_dh17_snubnose.iff	
rebel_pistol	object/weapon/ranged/pistol/pistol_dh17.iff	object/weapon/ranged/pistol/pistol_dl44.iff	object/weapon/ranged/pistol/pistol_striker.iff	object/weapon/ranged/pistol/pistol_srcombat.iff
rebel_sword	object/weapon/melee/axe/axe_heavy_duty.iff	object/weapon/melee/axe/axe_vibroaxe.iff	object/weapon/melee/sword/sword_rantok.iff	object/weapon/melee/sword/sword_02.iff
rebel_polearm	object/weapon/melee/polearm/lance_controllerfp.iff	object/weapon/melee/polearm/lance_staff_metal.iff	object/weapon/melee/polearm/lance_vibrolance.iff	object/weapon/melee/polearm/polearm_vibro_axe.iff
rebel_unarmed	unarmed			
imperial_rifle	object/weapon/ranged/rifle/rifle_dlt20a.iff	object/weapon/ranged/rifle/rifle_e11.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff	
imperial_carbine	object/weapon/ranged/carbine/carbine_dxr6.iff	object/weapon/ranged/carbine/carbine_e11.iff	object/weapon/ranged/carbine/carbine_ee3.iff	object/weapon/ranged/carbine/carbine_elite.iff
imperial_pistol	object/weapon/ranged/pistol/pistol_dx2.iff	object/weapon/ranged/pistol/pistol_scout_blaster.iff		
imperial_sword	object/weapon/melee/baton/baton_stun.iff	object/weapon/melee/knife/knife_survival.iff	object/weapon/melee/knife/knife_vibroblade.iff	
imperial_polearm	object/weapon/melee/polearm/lance_controllerfp.iff	object/weapon/melee/polearm/lance_staff_metal.iff	object/weapon/melee/polearm/lance_vibrolance.iff	object/weapon/melee/polearm/polearm_vibro_axe.iff
imperial_unarmed	unarmed			
general_rifle	object/weapon/ranged/rifle/rifle_dlt20a.iff	object/weapon/ranged/rifle/rifle_e11.iff	object/weapon/ranged/rifle/rifle_sg82.iff	object/weapon/ranged/rifle/rifle_t21.iff
general_carbine	object/weapon/ranged/carbine/carbine_laser.iff	object/weapon/ranged/carbine/carbine_ee3.iff	object/weapon/ranged/carbine/carbine_dxr6.iff	object/weapon/ranged/carbine/carbine_e11.iff
general_pistol	object/weapon/ranged/pistol/pistol_d18.iff	object/weapon/ranged/pistol/pistol_dl44_metal.iff	object/weapon/ranged/pistol/pistol_power5.iff	object/weapon/ranged/pistol/pistol_striker.iff
general_sword	object/weapon/melee/axe/axe_vibroaxe.iff	object/weapon/melee/sword/sword_blade_ryyk.iff	object/weapon/melee/knife/knife_vibroblade.iff	object/weapon/melee/knife/knife_survival.iff
general_polearm	object/weapon/melee/polearm/lance_controllerfp.iff	object/weapon/melee/polearm/lance_staff_metal.iff	object/weapon/melee/polearm/lance_vibrolance.iff	object/weapon/melee/polearm/polearm_vibro_axe.iff
general_unarmed	object/weapon/melee/special/vibroknuckler.iff	unarmed		
stormtrooper_rifle	object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff	object/weapon/ranged/rifle/rifle_e11.iff	object/weapon/ranged/rifle/rifle_sg82.iff
stormtrooper_carbine	object/weapon/ranged/carbine/carbine_e11.iff			
stormtrooper_pistol	object/weapon/ranged/pistol/pistol_dx2.iff			
stormtrooper_sword	object/weapon/melee/baton/baton_stun.iff	object/weapon/melee/knife/knife_vibroblade.iff		
stormtrooper_polearm	object/weapon/melee/polearm/lance_staff_metal.iff			
stormtrooper_unarmed	unarmed			
ewok_melee	object/weapon/melee/polearm/lance_staff_wood_s1.iff	object/weapon/melee/polearm/lance_staff_wood_s2.iff		
ewok_ranged	object/weapon/ranged/rifle/rifle_ewok_crossbow.iff			
tusken_ranged	object/weapon/ranged/rifle/rifle_tusken.iff			
tusken_melee	object/weapon/melee/baton/baton_gaderiffi.iff			
geonosian_rifle	object/weapon/ranged/rifle/rifle_laser.iff	object/weapon/ranged/rifle/rifle_tenloss_dxr6_disruptor_loot.iff		
geonosian_carbine	object/weapon/ranged/carbine/carbine_geo.iff			
geonosian_pistol	object/weapon/ranged/pistol/pistol_geonosian_sonic_blaster_loot.iff	object/weapon/ranged/pistol/pistol_srcombat.iff		
geonosian_sword	object/weapon/melee/knife/knife_survival.iff	object/weapon/melee/sword/sword_02.iff	object/weapon/melee/sword/sword_rantok.iff	
geonosian_polearm	object/weapon/melee/polearm/lance_controllerfp.iff	object/weapon/melee/polearm/lance_vibrolance.iff		
geonosian_unarmed	unarmed			
force_sword	object/weapon/melee/sword/sword_01.iff	object/weapon/melee/sword/sword_02.iff	object/weapon/melee/2h_sword/2h_sword_maul.iff	object/weapon/melee/sword/sword_nyax.iff
force_polearm	object/weapon/melee/polearm/lance_staff_janta.iff	object/weapon/melee/polearm/lance_vibrolance.iff	object/weapon/melee/polearm/lance_staff_metal.iff	object/weapon/melee/polearm/polearm_vibro_axe.iff
jedi_light	object/weapon/melee/sword/crafted_saber/sword_lightsaber_one_handed_gen1_s02.iff			
jedi_dark	object/weapon/melee/sword/crafted_saber/sword_lightsaber_one_handed_gen1.iff			
primitive_weapons	object/weapon/melee/knife/knife_stone.iff	object/weapon/melee/polearm/lance_staff_wood_s1.iff	object/weapon/melee/polearm/lance_staff_wood_s2.iff	
wookiee_ranged	object/weapon/ranged/rifle/rifle_bowcaster_heavy.iff			
wookiee_melee	object/weapon/melee/2h_sword/2h_sword_kashyyk.iff	object/weapon/melee/sword/sword_blade_ryyk.iff	object/weapon/melee/polearm/lance_kashyyk.iff	
commando_ranged	object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/rifle/rifle_sg82.iff	object/weapon/ranged/rifle/rifle_e11.iff	
commando_melee	object/weapon/melee/special/massassiknuckler.iff			
avatar_jawa	object/weapon/melee/2h_sword/2h_sword_maul.iff			
captain_beshk	object/weapon/melee/polearm/lance_kaminoan.iff			
warden_tosk	object/weapon/melee/polearm/lance_shock.iff			
general_grievous	object/weapon/melee/polearm/lance_lightsaber_01.iff			
broodmaster_hsskas	object/weapon/melee/2h_sword/2h_sword_sith.iff			
marauder_melee	object/weapon/melee/sword/sword_marauder.iff			
deathwatch_ranged	object/weapon/ranged/carbine/carbine_dxr6.iff			
deathwatch_melee	object/weapon/melee/baton/baton_stun.iff		
battledroid	object/weapon/ranged/carbine/carbine_e5.iff		
harwakokok_melee	object/weapon/melee/2h_sword/2h_sword_blacksun_hack.iff		
lobarorr_melee	object/weapon/melee/polearm/lance_kashyyk.iff		
force_nyax	object/weapon/melee/sword/sword_nyax_force.iff		
force_maul	object/weapon/melee/2h_sword/2h_sword_maul_force.iff		
force_sword_melee	object/weapon/melee/sword/sword_01_force.iff		
force_sword_ranged	object/weapon/melee/sword/sword_02_ranged_donotuse_force.iff		
jedi_light_ranged	object/weapon/melee/sword/crafted_saber/sword_lightsaber_ranged_donotuse_s02.iff		
jedi_dark_ranged	object/weapon/melee/sword/crafted_saber/sword_lightsaber_ranged_donotuse_s01.iff		
inquisition_sword	object/weapon/melee/2h_sword/2h_sword_scythe.iff		
inquisition_polearm	object/weapon/melee/polearm/polearm_lance_electric_polearm.iff		
mustafar_miner	object/weapon/ranged/carbine/carbine_alliance_needler.iff	object/weapon/ranged/rifle/rifle_alliance_gauss_generic.iff	object/weapon/ranged/rifle/rifle_sg82.iff
jedi_statue_quest_dark	object/weapon/melee/sword/sword_lightsaber_adeen.iff		
jedi_statue_quest_light	object/weapon/melee/sword/sword_lightsaber_umakk.iff		
rebel_hoth_rifle	object/weapon/ranged/rifle/rifle_a280.iff		
imperial_hoth_rifle	object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/rifle/rifle_e11.iff	object/weapon/ranged/rifle/rifle_eweb.iff	
jedi_vader	object/weapon/melee/sword/sword_lightsaber_vader.iff			
sword_special	object/weapon/melee/sword/sword_acid.iff			
undead_weapon_imp	object/weapon/ranged/carbine/carbine_e11.iff	object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff	object/weapon/ranged/rifle/rifle_e11.iff
undead_weapon_reb	object/weapon/ranged/rifle/rifle_t21.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff	object/weapon/ranged/rifle/rifle_laser.iff	object/weapon/ranged/rifle/rifle_sg82.iff
undead_melee_01	object/weapon/melee/sword/sword_02.iff	object/weapon/melee/baton/baton_stun.iff	object/weapon/melee/sword/sword_nyax_force.iff	object/weapon/melee/baton/baton_gaderiffi.iff
undead_melee_02	object/weapon/melee/sword/sword_01.iff	object/weapon/melee/knife/knife_stone.iff	object/weapon/melee/sword/sword_nyax_force.iff	object/weapon/melee/knife/knife_survival.iff
