type	pulse	max_spawn	max_population	spawn_template	min_number	max_number	weight
s	i	i	i	s	i	i	i
spawner_test_imperial	60	10	10				
				stormtrooper_rifleman	1	3	6
				stormtrooper_sniper	1	2	3
				stormtrooper_squad_leader	1	1	2
				at_st	1	1	1
spawner_dune_sea_1	60	20	15				
				rebel_scout	1	2	4
				rebel_trooper	2	4	12
				rebel_staff_sergeant	1	2	6
				rebel_specforce_guerrilla	2	4	4
				rebel_commando	1	4	2
				rebel_specforce_captain	1	1	2
				rebel_general	1	1	1
spawner_Imperial_01	60	25	15				
				stormtrooper_rifleman	1	3	6
				stormtrooper_sniper	1	2	3
				stormtrooper_squad_leader	1	1	2
spawner_Rebel_01	60	25	15				
				rebel_scout	1	2	4
				rebel_trooper	2	4	12
				rebel_staff_sergeant	1	2	6
				rebel_specforce_guerrilla	2	4	4
				rebel_commando	1	4	2
				rebel_specforce_captain	1	1	2
				rebel_general	1	1	1
