ability_name	abilityCrc	skill_line	skill_rank	training_cost	level_to_learn	specialType	avian	bat	bull	camel	elephant	fambaa	frog	giraffe	goat	gorilla	griffon	horse	lizard	mantis	monkey	moth	mynock	pig	predatory_cat	rabbit	raptor	rat	roach	snake	spider	tanray	turkey	wolf
s[required]	h	s[required]	i[-1]	i[-1]	i[-1]	"e(combat=0,noncombat=1,innate=2)[combat]"	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]
bm_charge_1	bm_charge_1	bm_charge	1	5	1				1		1	1			1									1										
bm_charge_2	bm_charge_2	bm_charge	2	95	2				1		1	1			1									1										
bm_charge_3	bm_charge_3	bm_charge	3	185	4				1		1	1			1									1										
bm_charge_4	bm_charge_4	bm_charge	4	275	6				1		1	1			1									1										
bm_charge_5	bm_charge_5	bm_charge	5	365	8				1		1	1			1									1										
bm_trample	bm_trample	bm_charge	6	450	10				1		1	1			1									1										
bm_bite_1	bm_bite_1	bm_bite	1	5	1			1	1	1			1	1				1	1		1	1	1		1	1	1	1	1	1	1	1	1	1
bm_bite_2	bm_bite_2	bm_bite	2	95	2			1	1	1			1	1				1	1		1	1	1		1	1	1	1	1	1	1	1	1	1
bm_bite_3	bm_bite_3	bm_bite	3	185	4			1	1	1			1	1				1	1		1	1	1		1	1	1	1	1	1	1	1	1	1
bm_bite_4	bm_bite_4	bm_bite	4	275	6			1	1	1			1	1				1	1		1	1	1		1	1	1	1	1	1	1	1	1	1
bm_bite_5	bm_bite_5	bm_bite	5	365	8			1	1	1			1	1				1	1		1	1	1		1	1	1	1	1	1	1	1	1	1
bm_puncture_1	bm_puncture_1	bm_puncture	1	185	6			1				1										1									1	1		1
bm_puncture_2	bm_puncture_2	bm_puncture	2	275	8			1				1										1									1	1		1
bm_puncture_3	bm_puncture_3	bm_puncture	3	365	10			1				1										1									1	1		1
bm_siphon_1	bm_siphon_1	bm_siphon	1	185	6			1															1											
bm_siphon_2	bm_siphon_2	bm_siphon	2	275	7			1															1											
bm_siphon_3	bm_siphon_3	bm_siphon	3	365	9			1															1											
bm_siphon_master	bm_siphon_master	bm_siphon	4	450	10			1															1											
bm_hamstring_1	bm_hamstring_1	bm_hamstring	1	5	1																						1							1
bm_hamstring_2	bm_hamstring_2	bm_hamstring	2	95	2																						1							1
bm_hamstring_3	bm_hamstring_3	bm_hamstring	3	185	4																						1							1
bm_hamstring_4	bm_hamstring_4	bm_hamstring	4	275	6																						1							1
bm_hamstring_5	bm_hamstring_5	bm_hamstring	5	365	8																						1							1
bm_claw_1	bm_claw_1	bm_claw	1	5	1		1										1			1					1	1	1					1		
bm_claw_2	bm_claw_2	bm_claw	2	95	2		1										1			1					1	1	1					1		
bm_claw_3	bm_claw_3	bm_claw	3	185	4		1										1			1					1	1	1					1		
bm_claw_4	bm_claw_4	bm_claw	4	275	6		1										1			1					1	1	1					1		
