objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-2016945211	0	object/static/structure/general/trash_pile_s01.iff	0	866.936	61.726	851.739	-0.696707	0	0.717356	0		$|
-1828049198	0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_bracer_r.iff	0	871.966	62.0081	852.879	0.510067	0.427692	-0.33418	0.667259	npc.faction_recruiter.faction_item:npc.faction_recruiter.biolink_item:item.slicing.slicing_armor:item.armor.new_armor	biolink.id|6|1|faction_recruiter.faction|4|Imperial|$|
-1707876412	0	object/static/worldbuilding/decal/mun_decal_blast_sm.iff	0	866.94	62.0106	852.953	0.721347	0.00692526	0.692501	-0.0072137		$|
-1545667308	0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_chest_plate.iff	0	868.6	61.7839	852.33	-0.570188	-0.408859	-0.495672	0.511887	npc.faction_recruiter.faction_item:npc.faction_recruiter.biolink_item:item.slicing.slicing_armor:item.armor.new_armor	biolink.id|6|1|faction_recruiter.faction|4|Imperial|$|
-1350421228	0	object/static/vehicle/static_speeder_bike.iff	0	866.07	62.0765	852.95	0.530911	-0.0998688	0.649788	-0.53473		$|
-1294667051	0	object/static/structure/general/trash_pile_s01.iff	0	867.036	61.8166	852.94	1	0	0	0		$|
-636502454	0	object/static/structure/general/skeleton_human_headandbody.iff	0	870.06	62.1153	852.28	0.0881562	0.709842	0.0213165	-0.698497		$|
-579769064	0	object/static/worldbuilding/decal/mun_decal_blast_sm.iff	0	869.133	62.0272	852.156	0.999987	0	0	0.00499996		$|
-315510737	0	object/tangible/collection/scout_trooper_leggings.iff	0	868.46	61.8699	852.26	0.543491	0.470562	0.516659	-0.46503	systems.collections.consume_click	collection.slotName|4|col_scout_trooper_armor:scout_trooper_leggings|$|
-61457858	0	object/tangible/wearables/armor/scout_trooper/armor_scout_trooper_helmet.iff	0	871.642	61.9535	854.068	-0.2082	0.631528	0.718009	-0.205644	npc.faction_recruiter.faction_item:npc.faction_recruiter.biolink_item:item.slicing.slicing_armor:item.armor.new_armor	biolink.id|6|1|faction_recruiter.faction|4|Imperial|$|
-52678000	0	object/building/kashyyyk/thm_kash_rodian_bannerpole_s01.iff	0	0	195	0	1	0	0	0		$|
-1117038036	0	object/static/structure/general/tankfarm_s01.iff	0	58.5732	97.9591	1455.09	1	0	0	0		$|
-1177698942	0	object/static/structure/general/trash_pile_s01.iff	0	49.7563	97.3889	1458.23	1	0	0	0		$|
-1444951101	0	object/static/installation/mockup_mining_ore_harvester_style_1.iff	0	56.1694	97.4595	1464.42	1	0	0	0		$|
-1481089283	0	object/static/installation/mockup_power_generator_fusion_style_1.iff	0	66.9609	98.3149	1462.88	1	0	0	0		$|
-1841227961	0	object/static/structure/general/allum_mine_bucket_s01.iff	0	51.978	97.6693	1456.46	1	0	0	0		$|
-172765360	0	object/static/structure/tatooine/stone_hovel_tatooine_style_01.iff	0	54.5801	97.1143	1446.88	0.99533	-0.00410837	0.0667305	0.0696305		$|
-186110718	0	object/tangible/ground_spawning/area_spawner.iff	0	59.521	98.1423	1450.58	0.561779	0	0.827288	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|0.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|hunde_ice_cream|strSpawnerType|4|area|strSpawns|4|hunde_decan_ice_cream|$|
