objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-2136446116	0	object/tangible/ground_spawning/area_spawner.iff	0	2027.8	168.187	82.6926	-0.406774	0	0.913529	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|360.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|1.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|registerWithController|0|1|strName|4|outcast|strSpawnerType|4|area|strSpawns|4|gungan_outcast|$|
-2132943090	0	object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	0	2026.79	165.251	87.7213	0.617146	-0.259413	0.739181	0.0738124		$|
-1988438198	0	object/static/structure/naboo/gungan_damaged_wide_arch_s01.iff	0	2007.38	157.554	61.8892	0.809503	0.180081	-0.554745	0.0673346		$|
-1945279213	0	object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	0	2011.67	161.074	80.5307	0.970252	-0.210395	0.119761	-0.00153471		$|
-1936634994	0	object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	0	2034.24	169.005	83.6127	0.840589	0.0636728	-0.524572	0.119077		$|
-1892969970	0	object/static/structure/naboo/gungan_cleft_wall_lg_s01.iff	0	2014.27	162.296	85.492	0.983195	0.016805	0.12854	0.12854		$|
-1880910102	0	object/static/structure/naboo/gungan_wall_ruined_lg_s01.iff	0	2017.79	162.419	58.7469	0.774843	0.0769162	-0.617563	0.110984		$|
-1838797654	0	object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	0	2026.22	165.693	61.7708	0.975575	-0.185259	0.110629	-0.0411543		$|
-1794632121	0	object/tangible/collection/rock_glowing_09.iff	0	2020.65	174.061	71.1211	-0.68055	0.0511384	0.729355	-0.0477165	systems.collections.consume_click	collection.slotName|4|col_rock_glowing:glowing_rock_09|$|
-1503137088	0	object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	0	2010.5	161.579	68.4958	-0.0396472	-0.159023	0.95623	-0.242411		$|
-1237086588	0	object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	0	2013.43	160.964	65.9572	0.770033	0.0945739	-0.627593	0.0650593		$|
-1193680541	0	object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	0	2019.13	163.535	87.916	0.772049	0.155904	-0.616128	0.00445369		$|
-1112136794	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	2020.82	172.134	65.447	-0.16709	-0.144049	0.975288	-0.0119726		$|
-978256559	0	object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	0	2010.82	159.426	70.3688	0.985494	0.0180874	0.125	0.113357		$|
-957719871	0	object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	0	2027.62	168.517	66.3879	0.985817	-0.0823332	0.139633	0.0434637		$|
-888375885	0	object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	0	2019.84	161.375	64.8579	0.794514	0.0918966	-0.596298	0.0687893		$|
-846561421	0	object/static/structure/naboo/gungan_pillar_ruined_s01.iff	0	2023.22	169.883	75.8219	0.751012	0.0552884	-0.656573	0.0428391		$|
-797195425	0	object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	0	2019.55	164.269	66.9597	0.770033	0.094574	-0.627593	0.065059		$|
-695075166	0	object/static/structure/naboo/gungan_damaged_wall_lg_s01.iff	0	2005.6	158.76	67.8142	0.909382	0.0516733	0.11889	0.395246		$|
-602200284	0	object/static/structure/naboo/gungan_wall_ruined_sm_s01.iff	0	2028.43	168.857	65.6832	0.843216	-0.24816	0.249728	-0.40625		$|
-585391411	0	object/static/structure/naboo/gungan_sacred_head_s01.iff	0	2011.84	181.56	72.871	0.600432	-0.133038	0.768806	0.175272		$|
-584249876	0	object/tangible/ground_spawning/area_spawner.iff	0	2021.55	165.376	61.2737	0.747343	0	-0.664438	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|360.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|1.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|registerWithController|0|1|strName|4|outcast|strSpawnerType|4|area|strSpawns|4|gungan_outcast|$|
-565539320	0	object/tangible/ground_spawning/area_spawner.iff	0	2006.34	159.656	77.3823	0.191873	0	0.98142	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|360.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|1.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|registerWithController|0|1|strName|4|outcast|strSpawnerType|4|area|strSpawns|4|gungan_outcast|$|
-515967917	0	object/tangible/item/treasure_map/relic_buff_s02.iff	0	2012.75	185.633	73.643	0.774445	0.0355132	0.610974	0.160263		$|
