objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-1925870594	0	object/tangible/collection/col_family_story_grave_01.iff	0	723.734	90.1859	844.956	-0.0457809	0	0.998952	0	systems.collections.consume_click	collection.slotName|4|family_story_grave:family_grave_01|$|
-1228365460	0	object/tangible/collection/dancing_droid_07.iff	0	774.84	81.9967	2007.99	0.99995	9.27571e-011	-1.56749e-009	0.00999985	systems.collections.consume_click	collection.slotName|4|col_dancing_droid_01:dancing_droid_07|$|
-118100067	0	object/tangible/ground_spawning/area_spawner.iff	0	773.565	81.9324	2011.02	-0.111889	0	0.993721	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|0.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|tombl_ice_cream|strSpawnerType|4|area|strSpawns|4|tombl_blaus_ice_cream|$|
-34048000	0	object/building/kashyyyk/thm_kash_rodian_bannerpole_s01.iff	0	0	195	0	1	0	0	0		$|
-416001284	0	object/tangible/gravestone/random_grave.iff	0	728.681	89.8522	844.178	-0.0407852	1.99816e-010	0.999168	-1.01194e-010		$|
-306318662	0	object/tangible/gravestone/random_grave.iff	0	724.39	90.1878	848.573	-0.0707372	0	0.997495	0		$|
-1495315795	0	object/tangible/gravestone/random_grave.iff	0	729.373	90.181	847.687	-0.0707373	0	0.997495	0		$|
-149556234	0	object/tangible/gravestone/random_grave.iff	0	730.1	90.1817	851.049	-0.100626	0	0.994924	0		$|
-2004198133	0	object/tangible/gravestone/random_grave.iff	0	724.837	89.7455	851.969	-0.100626	0	0.994924	0		$|
-303212165	0	object/tangible/gravestone/gravestone04.iff	0	723.599	90.4861	849.285	0.612487	0	0.79048	0		$|
-1040681156	0	object/tangible/gravestone/gravestone05.iff	0	729.488	90.5943	851.705	0.60582	0	0.795602	0		$|
-889967514	0	object/tangible/gravestone/gravestone01.iff	0	728.528	90.5323	848.385	0.604552	0	0.796566	0		$|
-108890871	0	object/static/structure/general/skeleton_bith_headandbody.iff	0	724.476	90.0377	852.527	0.496744	0.0329089	0.863712	-0.0785152		$|
-1874051545	0	object/static/structure/general/web_05.iff	0	723.749	90.4325	849.616	-0.249662	-0.108188	0.939105	-0.209871		$|
-722241135	0	object/static/structure/general/web_06.iff	0	728.609	90.4459	847.961	0.905513	0.402359	0.132227	0.0258686		$|
-1246941711	0	object/static/structure/general/web_05.iff	0	724.578	89.8702	853.017	-0.22765	-0.186412	0.873816	-0.387132		$|
-238624812	0	object/static/structure/general/droid_r2_powerdown.iff	0	729.069	90.0511	844.352	0.347926	-0.369825	0.570108	0.645875		$|
