objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-2147356738	0	object/tangible/ground_spawning/area_spawner.iff	0	222.204	639.866	1202.15	-0.628762	0	0.777597	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|360.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|6.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|arachne_brood_lair_Va|strSpawnerType|4|area|strSpawns|4|talus_nashal_brood5a_arachne|$|
-2141999965	0	object/building/kashyyyk/thm_all_humanoid_bone_pile_s03.iff	0	1165.88	595	1403.16	0.793048	0	0.609159	0		$|
-2128273069	0	object/static/particle/pt_smoke_small.iff	0	1151.87	596.692	1402.34	1	0	0	0		$|
-2118425498	0	object/static/particle/pt_poi_electricity_2x2.iff	0	485.833	671.136	1173.94	1	0	0	0		$|
-2113103418	0	object/tangible/ground_spawning/area_spawner.iff	0	457.083	671.832	1191.65	0.341782	0	0.939779	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|120.000000|fltMinSpawnTime|2|60.000000|fltRadius|2|6.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|2|intSpawnSystem|0|1|registerWithController|0|1|strName|4|crew_camp_broodII_arachne|strSpawnerType|4|area|strSpawns|4|talus_nashal_brood2_arachne|$|
-2087012763	0	object/static/structure/tatooine/antenna_tatt_style_1.iff	0	459.265	670	1162.09	1	0	0	0		$|
-2061232892	0	object/static/particle/pt_lair_med_burn.iff	0	480.628	668.239	1170.33	1	0	0	0		$|
-2058510992	0	object/tangible/ground_spawning/area_spawner.iff	0	1160.11	595.341	1391.14	-0.138501	0	0.990362	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|90.000000|fltMinSpawnTime|2|60.000000|fltRadius|2|3.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|arachne_brood_crash_site_I|strSpawnerType|4|area|strSpawns|4|talus_nashal_brood1_arachne|$|
-2056736152	0	object/static/structure/general/skeleton_human_headandbody.iff	0	474.707	670.006	1189.9	-0.417595	0	0.908634	0		$|
-2044990044	0	object/static/space/debris/death_star_debris_h.iff	0	485.917	670.009	1174	1	0	0	0		$|
-2044902157	0	object/static/particle/pt_burning_smokeandembers_large.iff	0	460.785	669.191	1186.03	1	0	0	0		$|
-2022245701	0	object/tangible/ground_spawning/area_spawner.iff	0	92.5313	673.489	1085.41	-0.48128	0	0.876567	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|180.000000|fltMinSpawnTime|2|90.000000|fltRadius|2|12.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|arachne_brood_trail_Va|strSpawnerType|4|area|strSpawns|4|talus_nashal_brood5a_arachne|$|
-2020524840	0	object/static/space/debris/tradefed_hulk_debris_s04.iff	0	473.403	670	1176.15	1	0	0	0		$|
-2012565510	0	object/static/particle/pt_light_blink_orange.iff	0	1162.87	596.56	1394.26	1	0	0	0		$|
-1984408760	0	object/static/structure/general/skeleton_human_headandbody.iff	0	1161.97	595	1407.74	0.813879	0	-0.581035	0		$|
-1975365665	0	object/tangible/ground_spawning/patrol_waypoint.iff	0	255.088	619.721	1167.33	1	0	0	0	systems.spawning.patrol_point_setup	ignoreInBuildoutArray|0|1|pointName|4|arachne_brood_lair_Va_10104094_9|registerWithController|0|1|$|
-1969002892	0	object/tangible/camp/camp_tent_s3.iff	0	477.878	670.217	1191.59	1	0	0	0		$|
-1968756450	0	object/static/space/debris/tradefed_hulk_debris_s04.iff	0	464.128	669.797	1186.68	1	0	0	0		$|
-1964257450	0	object/static/structure/general/camp_stool_tall_s01.iff	0	475.213	670	1184.26	1	0	0	0		$|
