objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
-2123335013	0	object/static/structure/corellia/corl_power_arial_prime.iff	0	1538.21	7	1056.5	0.928369	0	0.37166	0		$|
-2101801164	0	object/tangible/quest/legacy_droid_motivator.iff	0	929.921	1.81829	1767.04	0.910754	-0.412192	0.0103069	0.0227736	quest.task.ground.retrieve_item_on_item	$|
-2083959302	0	object/static/item/item_bacta_ampules.iff	0	1539.24	7.43511	1056.45	1	0	0	0		$|
-2082752401	0	object/tangible/ground_spawning/area_spawner.iff	0	1499.21	78.6423	738.692	0.993807	0	0.11112	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|600.000000|fltMinSpawnTime|2|120.000000|fltRadius|2|1.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|door2|strSpawnerType|4|area|strSpawns|4|tatooine/commando_11_door|$|
-2034392339	0	object/tangible/ground_spawning/area_spawner.iff	0	1529.61	7	1265.08	0.688265	0	0.725459	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|10.000000|fltMinSpawnTime|2|5.000000|fltRadius|2|0.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|prof_spy_21_questgiver|strSpawnerType|4|area|strSpawns|4|tatooine/prof_spy_21_questgiver|$|
-2008692630	0	object/static/structure/tatooine/pillar_pristine_tall_style_01.iff	0	670.802	78	1090.38	0.996802	0	0.0799147	0		$|
-2002811976	0	object/static/item/item_bacta_ampules.iff	0	1539.34	7.43511	1056.49	1	0	0	0		$|
-1981430822	0	object/tangible/ground_spawning/area_spawner.iff	0	1353.48	7	1003.41	0.901438	0.000396252	0.432909	-0.000116	systems.spawning.spawner_area	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|0.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|tatooine_entha_podracers_racedroid2|strSpawnerType|4|area|strSpawns|4|tatooine_entha_podracers_racedroid2|$|
-1953096299	0	object/static/item/item_bacta_ampules.iff	0	1539.39	7.46673	1056.55	0.558115	0.604167	-0.425418	0.377505		$|
-1942615015	0	object/static/item/wp_carbine_elite_combined.iff	0	1538.1	7.92161	1057.86	-0.695361	-0.166588	0.697891	-0.040851		$|
