veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
overChargeShot1	overChargeShot1	overChargeShot1	overChargeShot1	overChargeShot1		bodyShot1	
pointBlankSingle1	pointBlankSingle1	pointBlankSingle1	pointBlankSingle1	pointBlankSingle1		bodyShot2	
chargeShot1	chargeShot1	chargeShot1	chargeShot1			bodyShot3	
overChargeShot2	overChargeShot2	overChargeShot2	overChargeShot2				
pointBlankArea1	pointBlankArea1	pointBlankArea1	pointBlankArea1				
pistolMeleeDefense1	pistolMeleeDefense1	pistolMeleeDefense1	pistolMeleeDefense1				
multiTargetShot	multiTargetShot	multiTargetShot	multiTargetShot				
fanShot	fanShot	fanShot					
chargeShot2	chargeShot2	chargeShot2					
doubleTap	pistolMeleeDefense1	pistolMeleeDefense1					
stoppingShot	stoppingShot	stoppingShot					
healthShot1	healthShot1						
pistolMeleeDefense2	pistolMeleeDefense2						
pointBlankSingle2	pointBlankSingle2						
disarmingShot1	disarmingShot1
healthShot2	healthShot2
diveShot	diveShot
targetedShot	targetedShot
rollShot	
disarmingShot2	
multiTargetPistolShot	
cripplingShot	
pointBlankArea2	
kipUpShot	
