veryHard	hard	medium	easy	veryEasy	targetedShotHead	targetedShotBody	targetedShotLeg
h	h	h	h	h	h	h	h
overChargeShot1	overChargeShot1	overChargeShot1	overChargeShot1	overChargeShot1	pointBlankSingle1		
strafeShot1	strafeShot1	strafeShot1	strafeShot1		pointBlankSingle1		
pointBlankSingle1	pointBlankSingle1	pointBlankSingle1	pointBlankSingle1		pointBlankSingle1		
flurryShot1	flurryShot1	flurryShot1					
overChargeShot2	overChargeShot2	overChargeShot2					
strafeShot2	strafeShot2						
pointBlankArea1	pointBlankArea1						
targetedShot	targetedShot						
flurryShot2							
surpriseShot							
