entry_type	schematic_name	schematic_description	crafting_script	items_per_container	crafting_type	slots	xp_type	volume	crafted_object_template	crafted_object_template_hash	complexity	xp	hit_points_low	hit_points_high	min_damage_low	min_damage_high	max_damage_low	max_damage_high	min_damage_low_cap	min_damage_high_cap	max_damage_low_cap	max_damage_high_cap	accuracy_low	accuracy_high	damage_type	elemental_type	elemental_value_low	elemental_value_high	attack_speed_low	attack_speed_high	tier_granted	wound_chance_low	wound_chance_high	special_attack_cost_low	special_attack_cost_high	min_range_distance	max_range_distance	slot_type	slot_optional	slot_name	slot_ingredient_name	slot_ingredient_count	slot_appearance	schematic_conversion	crc_schematic_name
"e(weapon=0,slot=1)[weapon]"	s	s	s	i	"e(none=-1,weapon=1,lightsaber=2048)[none]"	i	"e(none=-1,crafting=0,weapon_crafting=1,melee_weapon_crafting=2,ranged_weapon_crafting=3,munition_weapon_crafting=4,jedi=5)[none]"	i[1]	s	h	i	i	i[1]	i[1]	i	i	i	i	i	i	i	i	i	i	"e(component=0,kinetic=1,energy=2)[component]"	"e(none=0,cold=64,heat=32,acid=128,electric=256)[none]"	i	i	i	i	i	i	i	i	i	i	i	"e(none=-1,resource=4,template=2,template_generic=5,schematic=6,schematic_generic=7)[none]"	b[0]	s	s	i	"e(none=0,scope=1,muzzle=2,stock=3)[none]"	s	h
weapon	2h_sword_scythe		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	3	weapon_crafting	1	object/weapon/melee/2h_sword/2h_sword_scythe.iff	object/weapon/melee/2h_sword/2h_sword_scythe.iff	34	402	800	1100	299	597	895	1193	299	597	895	1193	0	0	kinetic	acid	12	35	100	100	11	1	1	100	100	0	4								object/draft_schematic/weapon/2h_sword_scythe.iff
slot																																						resource	0	sword_core_jacket	steel_carbonite	60			
slot																																						resource	0	grip	aluminum_phrik	30			
slot																																						template	0	omnipotent_sword_core	object/tangible/component/weapon/geonosian_sword_core.iff	2			
weapon	axe		systems.crafting.weapon.crafting_melee_artisan_weapon	25	weapon	3	crafting	1	object/weapon/melee/axe/axe_heavy_duty.iff	object/weapon/melee/axe/axe_heavy_duty.iff	8	42	800	1100	14	29	44	58	14	29	44	58	0	0	kinetic				100	100	1	1	1	100	100	0	4								object/draft_schematic/weapon/axe.iff
slot																																						resource	0	axe_head	metal	15			
slot																																						resource	0	shaft	wood	20			
slot																																						resource	0	axe_head_fastener	steel	6			
weapon	axe_vibro		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	3	weapon_crafting	4	object/weapon/melee/axe/axe_vibroaxe.iff	object/weapon/melee/axe/axe_vibroaxe.iff	30	308	800	1100	229	458	687	916	229	458	687	916	0	0	kinetic				100	100	9	1	1	100	100	0	4								object/draft_schematic/weapon/axe_vibro.iff
slot																																						resource	0	vibro_unit_and_power_cell_brackets	copper	24			
slot																																						resource	0	axe_base	steel_ditanium	38			
slot																																						template	0	vibration_generator_advanced	object/tangible/component/weapon/vibro_unit_advanced.iff	2			
weapon	baton_gaderiffi		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	4	object/weapon/melee/baton/baton_gaderiffi.iff	object/weapon/melee/baton/baton_gaderiffi.iff	26	214	800	1100	159	319	479	638	159	319	479	638	0	0	kinetic				100	100	7	1	1	100	100	0	4								object/draft_schematic/weapon/baton_gaderiffi.iff
slot																																						resource	0	grip_unit	iron	20			
slot																																						resource	0	reactive_striking_surface	metal	23			
slot																																						resource	0	power_cell_brackets	metal	5			
slot																																						template	0	reinforcement_core_advanced	object/tangible/component/weapon/reinforcement_core_advanced.iff	1			
weapon	victor_baton_gaderiffi		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	4	weapon_crafting	4	object/weapon/melee/baton/victor_baton_gaderiffi.iff	object/weapon/melee/baton/victor_baton_gaderiffi.iff	26	214	800	1100	159	319	479	638	159	319	479	638	0	0	kinetic				100	100	7	1	1	100	100	0	4								object/draft_schematic/weapon/victor_baton_gaderiffi.iff
slot																																						resource	0	grip_unit	iron	65			
slot																																						resource	0	reactive_striking_surface	metal	50			
slot																																						resource	0	power_cell_brackets	metal	30			
slot																																						template	0	reinforcement_core_advanced	object/tangible/component/weapon/reinforcement_core_advanced.iff	2			
weapon	baton_stun		systems.crafting.weapon.crafting_melee_standard_weapon	25	weapon	6	weapon_crafting	3	object/weapon/melee/baton/baton_stun.iff	object/weapon/melee/baton/baton_stun.iff	34	402	800	1100	299	597	895	1193	299	597	895	1193	0	0	energy	electric	14	35	100	100	11	1	1	100	100	0	4								object/draft_schematic/weapon/baton_stun.iff
slot																																						resource	0	grip_unit	steel	18			
slot																																						resource	0	conductive_strike_face	copper_polysteel	18			
