template	gatingObjVar	alreadySearchedObjVar	intel_document	filler01_document	filler02_document
s	s	s	s	s	s
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_assassination_01.iff	corl_corvette.imperial_assassin	corl_corvette.document.imperial_assassin_received01	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_assassination_02.iff	corl_corvette.imperial_assassin	corl_corvette.document.imperial_assassin_received02	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_assassination_03.iff	corl_corvette.imperial_assassin	corl_corvette.document.imperial_assassin_received03	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_destroy_01.iff	corl_corvette.imperial_destroy	corl_corvette.document.imperial_destroy_received01	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_destroy_02.iff	corl_corvette.imperial_destroy	corl_corvette.document.imperial_destroy_received02	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_destroy_03.iff	corl_corvette.imperial_destroy	corl_corvette.document.imperial_destroy_received03	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_rescue_01.iff	corl_corvette.imperial_rescue	corl_corvette.document.imperial_rescue_received01	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_rescue_02.iff	corl_corvette.imperial_rescue	corl_corvette.document.imperial_rescue_received02	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_imperial_rescue_03.iff	corl_corvette.imperial_rescue	corl_corvette.document.imperial_rescue_received03	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/imperial_rescue_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_assassination_01.iff	corl_corvette.neutral_assassin	corl_corvette.document.neutral_assassin_received01	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_assassination_02.iff	corl_corvette.neutral_assassin	corl_corvette.document.neutral_assassin_received02	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_assassination_03.iff	corl_corvette.neutral_assassin	corl_corvette.document.neutral_assassin_received03	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_destroy_01.iff	corl_corvette.neutral_destroy	corl_corvette.document.neutral_destroy_received01	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_destroy_02.iff	corl_corvette.neutral_destroy	corl_corvette.document.neutral_destroy_received02	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_destroy_03.iff	corl_corvette.neutral_destroy	corl_corvette.document.neutral_destroy_received03	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_rescue_01.iff	corl_corvette.neutral_rescue	corl_corvette.document.neutral_rescue_received01	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_rescue_02.iff	corl_corvette.neutral_rescue	corl_corvette.document.neutral_rescue_received02	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_neutral_rescue_03.iff	corl_corvette.neutral_rescue	corl_corvette.document.neutral_rescue_received03	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/neutral_rescue_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_assassination_01.iff	corl_corvette.rebel_assassin	corl_corvette.document.rebel_assassin_received01	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_assassination_02.iff	corl_corvette.rebel_assassin	corl_corvette.document.rebel_assassin_received02	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_assassination_03.iff	corl_corvette.rebel_assassin	corl_corvette.document.rebel_assassin_received03	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_assassin_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_destroy_01.iff	corl_corvette.rebel_destroy	corl_corvette.document.rebel_destroy_received01	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_destroy_02.iff	corl_corvette.rebel_destroy	corl_corvette.document.rebel_destroy_received02	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_destroy_03.iff	corl_corvette.rebel_destroy	corl_corvette.document.rebel_destroy_received03	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_destroy_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_rescue_01.iff	corl_corvette.rebel_rescue	corl_corvette.document.rebel_rescue_received01	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_rescue_02.iff	corl_corvette.rebel_rescue	corl_corvette.document.rebel_rescue_received02	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_filler02.iff
object/tangible/dungeon/corellian_corvette/corvette_search_rebel_rescue_03.iff	corl_corvette.rebel_rescue	corl_corvette.document.rebel_rescue_received03	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_intel.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_filler01.iff	object/tangible/loot/dungeon/corellian_corvette/rebel_rescue_filler02.iff
