X	Y	Z	YAW	CELL
f[0]	f[0]	f[0]	f[0]	s[WORLD_DELTA]
-9.3	1.01	15.38	270	foyer1
9.34	1.01	15.41	90	foyer1
16.93	1.01	10.65	180	mainhall
21.68	1.01	16.44	270	meeting2
15.26	1.01	21.72	270	meeting2
-17	1.01	10.66	180	mainhall
-15.25	1.01	21.65	180	meeting1
-21.7	1.01	18.57	90	meeting1
9.32	1.01	-6.96	90	meeting3
7.65	1.01	2.91	270	mainhall
-2.25	1.01	-17.54	180	storage1
-17.28	1.01	-16.26	180	jailcell2
-11.98	1.01	-1.57	180	staircase
-8.89	7.01	-17.64	0	hall2
13.7	7.01	-7	270	hall2
0.04	7.01	5.34	0	storage2
7.55	7.01	13.62	180	foyer2
