small	medium	large
s	s	s
fbase_scout_trooper_extreme	formation:imperial:tier4_small_patrol_a	formation:imperial:tier4_large_patrol_a
fbase_imperial_exterminator_extreme	formation:imperial:tier4_small_patrol_b	formation:imperial:tier4_large_patrol_b
fbase_imperial_army_captain_extreme		
fbase_sand_trooper_extreme		
fbase_imperial_colonel_extreme		
fbase_stormtrooper_sniper_extreme		
fbase_stormtrooper_rifleman_extreme		
fbase_stormtrooper_medic_extreme		
fbase_stormtrooper_extreme		
fbase_stormtrooper_bombardier_extreme		
fbase_dark_trooper_extreme		
fbase_stormtrooper_squad_leader_extreme		
fbase_stormtrooper_captain_extreme		
fbase_storm_commando_extreme		
fbase_elite_sand_trooper_extreme
fbase_elite_dark_trooper_extreme
