small	medium	large
s	s	s
fbase_rebel_liberator_extreme	formation:rebel:tier2_small_patrol_a	formation:rebel:tier2_large_patrol_a
fbase_rebel_army_captain_extreme	formation:rebel:tier2_small_patrol_b	formation:rebel:tier2_large_patrol_b
fbase_rebel_colonel_extreme		
fbase_rebel_soldier_extreme		
fbase_rebel_rifleman_extreme		
fbase_rebel_guardsman_extreme		
fbase_rebel_guard_captain_extreme		
fbase_rebel_grenadier_extreme		
fbase_rebel_heavy_trooper_extreme		
fbase_rebel_squad_leader_extreme		
fbase_rebel_cadet_extreme		
fbase_rebel_commando_extreme		
fbase_rebel_elite_sand_rat_extreme		
fbase_rebel_elite_heavy_trooper_extreme		
