STRUCTURE	X	Y	Z	CELL	HEADING	TERMINAL
s	f[0]	f[0]	f[0]	s[WORLD_DELTA]	f[0]	s
object/building/faction_perk/hq/hq_s01_imp.iff	4	0.13	-5.89	room2	0	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s01_imp_pvp.iff	4	0.13	-5.89	room2	0	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s02_imp.iff	-0.27	-6.75	-6.52	room1	270	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s02_imp.iff	-8.9	-6.75	-6.47	room1	90	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s02_imp.iff	-8.42	-6.77	-15.03	room2	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s02_imp.iff	9.49	-6.77	-14.98	room2	270	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	-0.27	-6.75	-6.52	room1	270	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	-8.9	-6.75	-6.47	room1	90	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	-8.42	-6.77	-15.03	room2	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	9.49	-6.77	-14.98	room2	270	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s03_imp.iff	7.3	-13.75	7.3	room3	270	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s03_imp.iff	-10.39	-13.75	7.21	room3	90	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s03_imp.iff	5.62	-20.74	13.27	bunker	0	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s03_imp.iff	-2.65	-20.74	13.23	bunker	0	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	7.3	-13.75	7.3	room3	270	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	-10.39	-13.75	7.21	room3	90	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	5.62	-20.74	13.27	bunker	0	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	-2.65	-20.74	13.23	bunker	0	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_imp.iff	11.99	-13.76	1.9	foyer	90	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s04_imp.iff	10.04	-11.5	-20.99	core	90	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s04_imp.iff	1.08	-6.75	-6.44	room1	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_imp.iff	7.98	-6.75	-6.42	room1	270	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_imp.iff	-7.47	-13.76	11.99	hallway	90	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	11.99	-13.76	1.9	foyer	90	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	10.04	-11.5	-20.99	core	90	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	1.08	-6.75	-6.44	room1	90	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	7.98	-6.75	-6.42	room1	270	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	-7.47	-13.76	11.99	hallway	90	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s05_imp.iff	7.35	1.01	12.75	mainhall	180	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s05_imp.iff	-7.52	1.01	12.75	mainhall	180	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s05_imp.iff	17.03	1.01	22.41	meeting2	180	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s05_imp.iff	19.01	1.01	22.41	meeting2	180	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s05_imp.iff	5.13	1.01	-20.49	storage1	270	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s05_imp.iff	-5.13	1.01	-20.49	storage1	90	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s05_imp.iff	-14.72	7.01	7.73	storage2	90	object/tangible/terminal/terminal_cloning.iff
object/building/faction_perk/hq/hq_s05_imp.iff	-14.72	7.01	11.25	storage2	90	object/tangible/terminal/terminal_cloning.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	7.35	1.01	12.75	mainhall	180	object/tangible/terminal/terminal_mission.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	-7.52	1.01	12.75	mainhall	180	object/tangible/terminal/terminal_mission_imperial.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	17.03	1.01	22.41	meeting2	180	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	19.01	1.01	22.41	meeting2	180	object/tangible/terminal/terminal_bank.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	5.13	1.01	-20.49	storage1	270	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	-5.13	1.01	-20.49	storage1	90	object/tangible/terminal/terminal_insurance.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	-14.72	7.01	7.73	storage2	90	object/tangible/terminal/terminal_cloning.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	-14.72	7.01	11.25	storage2	90	object/tangible/terminal/terminal_cloning.iff
