TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/corellia/corl_power_transformer_s01.iff	-13.99	0	13.01	90
object/static/structure/corellia/corl_power_transformer_s01.iff	14.01	0	13.01	-90
object/static/structure/corellia/corl_power_transformer_s02.iff	8.01	0	-12.99	0
object/static/structure/corellia/corl_power_bubble_node.iff	-7.99	0	-12.99	0
object/static/structure/military/military_wall_med_imperial_style_01.iff	7.01	0	28.01	45
object/static/structure/military/military_wall_med_imperial_style_01.iff	-6.99	0	28.01	135
object/static/structure/military/military_wall_med_imperial_style_01.iff	10.01	0	21.01	90
object/static/structure/military/military_wall_med_imperial_style_01.iff	-9.99	0	21.01	90
object/static/structure/military/military_wall_med_imperial_style_01.iff	14.01	0	17.01	0
object/static/structure/military/military_wall_med_imperial_style_01.iff	-13.99	0	17.01	0
object/static/structure/military/military_wall_med_imperial_16_style_01.iff	-17.99	0	9.01	90
object/static/structure/military/military_wall_med_imperial_style_01.iff	-14.99	0	-1.99	45
object/static/structure/military/military_wall_med_imperial_style_01.iff	-14.99	0	-7.99	135
object/static/structure/military/military_wall_med_imperial_style_01.iff	-14.99	0	-13.99	45
object/static/structure/military/military_wall_med_imperial_16_style_01.iff	18.01	0	9.01	90
object/static/structure/military/military_wall_med_imperial_style_01.iff	15.01	0	-1.99	135
object/static/structure/military/military_wall_med_imperial_style_01.iff	15.01	0	-7.99	45
object/static/structure/military/military_wall_med_imperial_style_01.iff	15.01	0	-13.99	135
object/static/structure/military/military_wall_med_imperial_style_01.iff	-7.99	0	-16.99	0
object/static/structure/military/military_wall_med_imperial_style_01.iff	8.01	0	-16.99	0
object/static/structure/military/military_wall_med_imperial_style_01.iff	-3.99	0	-12.99	90
object/static/structure/military/military_wall_med_imperial_style_01.iff	4.01	0	-12.99	90
object/static/structure/military/military_wall_med_imperial_style_01.iff	0.01	0	-8.99	0
