STRUCTURE	X	Y	Z	CELL	HEADING	TERMINAL
s	f[0]	f[0]	f[0]	s[WORLD_DELTA]	f[0]	s
object/building/faction_perk/hq/hq_s01_imp.iff	0.14	0	2	mainhall	180	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s01_imp.iff	-1.18	0	2	mainhall	180	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s01_imp_pvp.iff	0.14	0	2	mainhall	180	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s01_imp_pvp.iff	-1.18	0	2	mainhall	180	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_imp.iff	-2.75	0	1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_imp.iff	-2.75	0	0	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_imp.iff	-2.75	0	-1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_imp.iff	-2.75	0	-2	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	-2.75	0	1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	-2.75	0	0	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	-2.75	0	-1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_imp_pvp.iff	-2.75	0	-2	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_imp.iff	-4.75	0	-2.4	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_imp.iff	-4.75	0	-1.2	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_imp.iff	-4.75	0	0.2	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_imp.iff	-4.75	0	1.4	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	-4.75	0	-2.4	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	-4.75	0	-1.2	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	-4.75	0	0.2	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_imp_pvp.iff	-4.75	0	1.4	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_imp.iff	4.75	0	0	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_imp.iff	4.75	0	-1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_imp.iff	4.75	0	-2	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_imp.iff	4.75	0	-3	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	4.75	0	0	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	4.75	0	-1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	4.75	0	-2	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_imp_pvp.iff	4.75	0	-3	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_imp.iff	-490	1	7.7	mainhall	179	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_imp.iff	-491.2	1	7.5	mainhall	179	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_imp.iff	-492.7	1	7.5	mainhall	179	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_imp.iff	-493.5	1	7.6	mainhall	179	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	-490	1	7.7	mainhall	179	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	-491.2	1	7.5	mainhall	179	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	-492.7	1	7.5	mainhall	179	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_imp_pvp.iff	-493.5	1	7.6	mainhall	179	object/tangible/terminal/terminal_hq_turret_control.iff
