STRUCTURE	X	Y	Z	CELL	HEADING	TERMINAL
s	f[0]	f[0]	f[0]	s[WORLD_DELTA]	f[0]	s
object/building/faction_perk/hq/hq_s01_rebel.iff	1	0	-1.76	mainhall	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s01_rebel.iff	1	0	-0.6	mainhall	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s01_rebel_pvp.iff	1	0	-1.76	mainhall	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s01_rebel_pvp.iff	1	0	-0.6	mainhall	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_rebel.iff	-2.75	0	1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_rebel.iff	-2.75	0	0	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_rebel.iff	-2.75	0	-1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_rebel.iff	-2.75	0	-2	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	-2.75	0	1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	-2.75	0	0	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	-2.75	0	-1	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s02_rebel_pvp.iff	-2.75	0	-2	hall1	-90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_rebel.iff	-4.75	0	-2.4	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_rebel.iff	-4.75	0	-1.2	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_rebel.iff	-4.75	0	0.2	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_rebel.iff	-4.75	0	1.4	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	-4.75	0	-2.4	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	-4.75	0	-1.2	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	-4.75	0	0.2	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s03_rebel_pvp.iff	-4.75	0	1.4	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	2.75	0	-1.9	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	2.75	0	-0.9	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	2.75	0	0.1	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_rebel.iff	2.75	0	1.1	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	2.75	0	-1.9	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	2.75	0	-0.9	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	2.75	0	0.1	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s04_rebel_pvp.iff	2.75	0	1.1	hall1	90	object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_rebel.iff						object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_rebel.iff						object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_rebel.iff						object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_rebel.iff						object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff						object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff						object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff						object/tangible/terminal/terminal_hq_turret_control.iff
object/building/faction_perk/hq/hq_s05_rebel_pvp.iff						object/tangible/terminal/terminal_hq_turret_control.iff
