name	template	factional	comments
s	s[object/static/firework/fx_01.iff]	i[0]	c
default			
fx_01	object/static/firework/fx_01.iff		
fx_02	object/static/firework/fx_02.iff		
fx_03	object/static/firework/fx_03.iff		
fx_04	object/static/firework/fx_04.iff		
fx_05	object/static/firework/fx_05.iff		
fx_10	object/static/firework/fx_10.iff		
fx_11	object/static/firework/fx_11.iff		
fx_18	object/static/firework/fx_18.iff		
fx_19	object/static/firework/fx_19.iff	1	imp empire day 
fx_20	object/static/firework/fx_20.iff	1	reb empire day 
