rebel	imperial	room	loc_x	loc_y	loc_z	yaw	respawn_time	script	objvar	behavior
s	s	s	f	f	f	f	i	s	s	"e(wander=0,sentinel=1,loiter=2)[sentinel]"
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	4758.83	95	-5243.16	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	4758.78	95	-5236.62	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	4773.01	95	-5214.47	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	4779.72	95	-5214.53	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	4796.89	95	-5210.06	45				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	4806.02	95	-5259.69	90				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	4808.63	95	-5282.77	-45				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	world	4756.84	95	-5205.76	-45				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	room1	-7.1	-6.75	-9.48	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	room2	-2.4	-6.77	-12	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	room2	3	-6.77	-12.02	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	room3	8.11	-6.75	0.51	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	basement	-5.04	-13.75	-17.18	0				
object/tangible/gcw/flip_banner_onpole_rebel.iff	object/tangible/gcw/flip_banner_onpole_imperial.iff	basement	0.03	-13.75	-17.18	0				
gcw_base_rebel_commando	gcw_base_stormtrooper	basement	-6.2	-13.8	-0.9	90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	basement	0.7	-13.8	-1	-90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	basement	0.9	-13.8	-12.8	-90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	room3	2.5	-6.8	-2.1	90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	room3	8.6	-6.8	-1.9	-90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	room2	3.1	-6.8	-17.6	0	300
gcw_base_rebel_commando	gcw_base_stormtrooper	room2	0.4	-6.8	-17.1	0	300
gcw_base_rebel_commando	gcw_base_stormtrooper	room1	-0.5	-6.8	-6.5	-90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4761.8	95	-5244	90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4761.8	95	-5236.4	90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4770.6	95	-5215.9	-180	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4782.7	95	-5215.9	-180	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4792.6	95	-5206.8	-135	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4805.1	95	-5253.9	-90	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4800.8	95	-5278.7	-45	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4812.5	99	-5285	-135	300
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4766.7	95	-5274.2	30	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4752.7	95	-5209	135	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4818.8	95	-5210.8	-140	300			
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4782	95	-5246.2	0	300			loiter
gcw_base_rebel_commando	gcw_base_stormtrooper	world	4782	95	-5229.7	180	300			loiter
gcw_base_rebel_corellia_reward_officer	gcw_base_imperial_corellia_reward_officer	basement	-5.2	-13.8	-12.9	17	30			
