swamp_trooper_small	swamp_trooper_medium	swamp_trooper_large	swamp_trooper_huge
s	s	s	s
imperial_sergeant	imperial_first_lieutenant	imperial_exterminator	imperial_exterminator
swamp_trooper	imperial_sergeant	imperial_first_lieutenant	imperial_army_captain
swamp_trooper	swamp_trooper	imperial_sergeant	imperial_first_lieutenant
swamp_trooper	swamp_trooper	swamp_trooper	imperial_sergeant
swamp_trooper	swamp_trooper	swamp_trooper	swamp_trooper
swamp_trooper	swamp_trooper	swamp_trooper	swamp_trooper
elite_dark_trooper	swamp_trooper	swamp_trooper	swamp_trooper
elite_dark_trooper	swamp_trooper	swamp_trooper	swamp_trooper
elite_dark_trooper	elite_dark_trooper	swamp_trooper	swamp_trooper
elite_dark_trooper	elite_dark_trooper	swamp_trooper	swamp_trooper
elite_dark_trooper	elite_dark_trooper	elite_dark_trooper	swamp_trooper
	elite_dark_trooper	elite_dark_trooper	swamp_trooper
	elite_dark_trooper	elite_dark_trooper	elite_dark_trooper
		elite_dark_trooper	elite_dark_trooper
		elite_dark_trooper	elite_dark_trooper
			elite_dark_trooper
			elite_dark_trooper
