strTemplate	fltJX	fltJY	fltJZ	fltKX	fltKY	fltKZ	fltPX	fltPY	fltPZ	strObjVars	strScripts	strCellName	intNoCreate	strLocationList
s	f	f	f	f	f	f	f	f	f	p	s	s	i	s
object/tangible/ground_spawning/area_spawner.iff	           0	           1	           0	    0.999986	           0	  0.00533694	   -0.266695	 4.67834e-07	    0.141634	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|1.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|bartender|strSpawnerType|4|area|strSpawns|4|npe/quest|$|	script.systems.spawning.spawner_area	cantina	0	
object/mobile/dressed_noble_old_zabrak_male_02.iff	           0	           1	           0	    0.999986	           0	  0.00533692	   -0.142246	 5.04062e-07	    0.729964	_notskill.mods.carbine_accuracy|0|10|_notskill.mods.heavyweapon_accuracy|0|10|_notskill.mods.melee_defense|0|10|_notskill.mods.onehandmelee_accuracy|0|10|_notskill.mods.pistol_accuracy|0|10|_notskill.mods.polearm_accuracy|0|10|_notskill.mods.ranged_defense|0|10|_notskill.mods.rifle_accuracy|0|10|_notskill.mods.thrown_accuracy|0|10|_notskill.mods.toHitChance|0|10|_notskill.mods.twohandmelee_accuracy|0|10|_notskill.mods.unarmed_accuracy|0|10|ai.chatMood|4|innocent|ai.chatType|4|say|ai.defaultCalmBehavior|0|1|ai.diction|4|fancy|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|0.000000|combat.intCombatXP|0|200|difficultyClass|0|0|faction|4|townsperson|fltRespawnTime|2|1.889858|intCombatDifficulty|0|2|objParent|6|10200085|$|	script.conversation.npe_main_bartender,script.systems.spawning.spawned_tracker,script.systems.combat.combat_actions_humanoid,script.ai.creature_combat,script.ai.ai,script.systems.combat.credit_for_kills	cantina	0	
object/mobile/dressed_noble_twilek_male_01.iff	           0	           1	           0	    0.858832	           0	    0.512257	     42.7534	 1.26802e-07	      26.356	_notskill.mods.carbine_accuracy|0|10|_notskill.mods.heavyweapon_accuracy|0|10|_notskill.mods.melee_defense|0|10|_notskill.mods.onehandmelee_accuracy|0|10|_notskill.mods.pistol_accuracy|0|10|_notskill.mods.polearm_accuracy|0|10|_notskill.mods.ranged_defense|0|10|_notskill.mods.rifle_accuracy|0|10|_notskill.mods.thrown_accuracy|0|10|_notskill.mods.toHitChance|0|10|_notskill.mods.twohandmelee_accuracy|0|10|_notskill.mods.unarmed_accuracy|0|10|ai.chatMood|4|none|ai.chatType|4|mumble|ai.defaultCalmBehavior|0|1|ai.diction|4|fancy|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|0.000000|combat.intCombatXP|0|200|difficultyClass|0|0|faction|4|townsperson|fltRespawnTime|2|1.045477|intCombatDifficulty|0|2|objParent|6|10200191|$|	script.conversation.npe_main_cargo,script.systems.spawning.spawned_tracker,script.systems.combat.combat_actions_humanoid,script.ai.creature_combat,script.ai.ai,script.systems.combat.credit_for_kills	hangarbay1	0	
object/tangible/ground_spawning/area_spawner.iff	           0	           1	           0	    0.858832	           0	    0.512257	     42.4519	 1.35048e-07	     25.8318	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|1.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|cargo|strSpawnerType|4|area|strSpawns|4|npe/quest|$|	script.systems.spawning.spawner_area	hangarbay1	0	
object/mobile/dressed_commoner_tatooine_nikto_male_01.iff	           0	           1	           0	    0.783888	          -0	   -0.620902	     43.4687	-2.81871e-08	    -41.0852	_notskill.mods.carbine_accuracy|0|5|_notskill.mods.heavyweapon_accuracy|0|5|_notskill.mods.melee_defense|0|5|_notskill.mods.onehandmelee_accuracy|0|5|_notskill.mods.pistol_accuracy|0|5|_notskill.mods.polearm_accuracy|0|5|_notskill.mods.ranged_defense|0|5|_notskill.mods.rifle_accuracy|0|5|_notskill.mods.thrown_accuracy|0|5|_notskill.mods.toHitChance|0|5|_notskill.mods.twohandmelee_accuracy|0|5|_notskill.mods.unarmed_accuracy|0|5|ai.chatMood|4|content|ai.chatType|4|yack|ai.defaultCalmBehavior|0|1|ai.diction|4|townperson|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|0.000000|combat.intCombatXP|0|100|difficultyClass|0|0|faction|4|townsperson|fltRespawnTime|2|1.612545|intCombatDifficulty|0|1|objParent|6|10200094|$|	script.conversation.npe_station_han_solo,script.systems.spawning.spawned_tracker,script.systems.combat.combat_actions_humanoid,script.ai.creature_combat,script.ai.ai,script.systems.combat.credit_for_kills	hangarbay2	0	
object/tangible/ground_spawning/area_spawner.iff	           0	           1	           0	    0.783888	           0	   -0.620902	     43.6862	-2.38539e-08	    -40.7782	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|1.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|han_solo|strSpawnerType|4|area|strSpawns|4|npe/quest|$|	script.systems.spawning.spawner_area	hangarbay2	0	
object/tangible/ground_spawning/area_spawner.iff	          -0	           1	           0	   -0.104074	          -0	     0.99457	    -1.75231	  2.9251e-07	     46.8665	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|1.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|inaldra|strSpawnerType|4|area|strSpawns|4|npe/quest|$|	script.systems.spawning.spawner_area	inaldra	0	
object/mobile/dressed_commoner_naboo_twilek_female_01.iff	           0	           1	           0	   -0.104074	           0	     0.99457	    -2.69661	  3.2138e-07	     46.4745	_notskill.mods.carbine_accuracy|0|5|_notskill.mods.heavyweapon_accuracy|0|5|_notskill.mods.melee_defense|0|5|_notskill.mods.onehandmelee_accuracy|0|5|_notskill.mods.pistol_accuracy|0|5|_notskill.mods.polearm_accuracy|0|5|_notskill.mods.ranged_defense|0|5|_notskill.mods.rifle_accuracy|0|5|_notskill.mods.thrown_accuracy|0|5|_notskill.mods.toHitChance|0|5|_notskill.mods.twohandmelee_accuracy|0|5|_notskill.mods.unarmed_accuracy|0|5|ai.chatMood|4|quiet|ai.chatType|4|mumble|ai.defaultCalmBehavior|0|1|ai.diction|4|townperson|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|0.000000|combat.intCombatXP|0|100|difficultyClass|0|0|faction|4|townsperson|fltRespawnTime|2|1.789579|intCombatDifficulty|0|1|objParent|6|10200202|$|	script.conversation.npe_station_inaldra,script.systems.spawning.spawned_tracker,script.systems.combat.combat_actions_humanoid,script.ai.creature_combat,script.ai.ai,script.systems.combat.credit_for_kills	inaldra	0	
object/tangible/ground_spawning/area_spawner.iff	          -0	           1	           0	   -0.529171	          -0	    0.848515	    -33.6221	 7.82605e-08	     34.9254	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|1.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|scout_questgiver|strSpawnerType|4|area|strSpawns|4|npe/quest|$|	script.systems.spawning.spawner_area	armory	0	
object/mobile/dressed_noble_old_zabrak_male_01.iff	           0	           1	           0	   -0.529171	           0	    0.848515	    -33.9555	 1.15375e-07	     34.9905	_notskill.mods.carbine_accuracy|0|10|_notskill.mods.heavyweapon_accuracy|0|10|_notskill.mods.melee_defense|0|10|_notskill.mods.onehandmelee_accuracy|0|10|_notskill.mods.pistol_accuracy|0|10|_notskill.mods.polearm_accuracy|0|10|_notskill.mods.ranged_defense|0|10|_notskill.mods.rifle_accuracy|0|10|_notskill.mods.thrown_accuracy|0|10|_notskill.mods.toHitChance|0|10|_notskill.mods.twohandmelee_accuracy|0|10|_notskill.mods.unarmed_accuracy|0|10|ai.chatMood|4|thoughtful|ai.chatType|4|gab|ai.defaultCalmBehavior|0|1|ai.diction|4|fancy|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|0.000000|combat.intCombatXP|0|200|difficultyClass|0|0|faction|4|townsperson|fltRespawnTime|2|1.288512|intCombatDifficulty|0|2|objParent|6|10200213|$|	script.conversation.npe_scout_questgiver,script.systems.spawning.spawned_tracker,script.systems.combat.combat_actions_humanoid,script.ai.creature_combat,script.ai.ai,script.systems.combat.credit_for_kills	armory	0	
object/tangible/ground_spawning/area_spawner.iff	           0	           1	           0	   -0.995778	           0	  -0.0917954	    -53.9854	-1.77095e-07	    0.321438	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|1.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|security|strSpawnerType|4|area|strSpawns|4|npe/quest|$|	script.systems.spawning.spawner_area	medicalbay	0	
object/mobile/dressed_commoner_tatooine_aqualish_female_07.iff	           0	           1	           0	   -0.995778	          -0	  -0.0917957	    -53.9266	-1.63827e-07	   -0.493968	_notskill.mods.carbine_accuracy|0|5|_notskill.mods.heavyweapon_accuracy|0|5|_notskill.mods.melee_defense|0|5|_notskill.mods.onehandmelee_accuracy|0|5|_notskill.mods.pistol_accuracy|0|5|_notskill.mods.polearm_accuracy|0|5|_notskill.mods.ranged_defense|0|5|_notskill.mods.rifle_accuracy|0|5|_notskill.mods.thrown_accuracy|0|5|_notskill.mods.toHitChance|0|5|_notskill.mods.twohandmelee_accuracy|0|5|_notskill.mods.unarmed_accuracy|0|5|ai.chatMood|4|casual|ai.chatType|4|prattle|ai.defaultCalmBehavior|0|1|ai.diction|4|townperson|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|0.000000|combat.intCombatXP|0|100|difficultyClass|0|0|faction|4|townsperson|fltRespawnTime|2|1.327002|intCombatDifficulty|0|1|objParent|6|10200223|$|	script.conversation.npe_main_security,script.systems.spawning.spawned_tracker,script.systems.combat.combat_actions_humanoid,script.ai.creature_combat,script.ai.ai,script.systems.combat.credit_for_kills	medicalbay	0	
object/mobile/dressed_noble_human_male_02.iff	           0	           1	           0	  -0.0388271	           0	   -0.999246	   -0.947824	 1.02797e-07	    -49.6214	_notskill.mods.carbine_accuracy|0|10|_notskill.mods.heavyweapon_accuracy|0|10|_notskill.mods.melee_defense|0|10|_notskill.mods.onehandmelee_accuracy|0|10|_notskill.mods.pistol_accuracy|0|10|_notskill.mods.polearm_accuracy|0|10|_notskill.mods.ranged_defense|0|10|_notskill.mods.rifle_accuracy|0|10|_notskill.mods.thrown_accuracy|0|10|_notskill.mods.toHitChance|0|10|_notskill.mods.twohandmelee_accuracy|0|10|_notskill.mods.unarmed_accuracy|0|10|ai.chatMood|4|sedate|ai.chatType|4|blab|ai.defaultCalmBehavior|0|1|ai.diction|4|fancy|armor.armorCategory|0|1|armor.armorLevel|0|1|armor.general_protection|2|0.000000|combat.intCombatXP|0|200|difficultyClass|0|0|faction|4|townsperson|fltRespawnTime|2|1.444284|intCombatDifficulty|0|2|objParent|6|10200104|$|	script.conversation.npe_station_kardde,script.systems.spawning.spawned_tracker,script.systems.combat.combat_actions_humanoid,script.ai.creature_combat,script.ai.ai,script.systems.combat.credit_for_kills	thrawn	0	
object/tangible/ground_spawning/area_spawner.iff	           0	           1	           0	  -0.0388273	           0	   -0.999246	   -0.477897	 1.87159e-07	    -50.0161	fltMaxSpawnTime|2|2.000000|fltMinSpawnTime|2|1.000000|fltRadius|2|1.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|karrde|strSpawnerType|4|area|strSpawns|4|npe/quest|$|	script.systems.spawning.spawner_area	thrawn	0	
