TEMPLATE	FRAME	TRIM
s	s[none]	s[none]
21b_surgical_droid.iff	private/index_color_1	private/index_color_2
3po_protocol_droid.iff	private/index_color_1	
3po_protocol_droid_crafted.iff	private/index_color_1	private/index_color_2
3po_protocol_droid_red.iff	private/index_color_1	
3po_protocol_droid_silver.iff	private/index_color_1	
8d8.iff	private/index_color_1	private/index_color_2
asn_121.iff	private/index_color_1	
astromech_waiter.iff	private/index_color_1	private/index_color_2
battle_droid.iff	private/index_color_1	private/index_color_2
bomarr_monk_spider_droid.iff	private/index_color_1	private/index_color_2
cll8_binary_load_lifter.iff	private/index_color_1	
cww8_droid_crafted.iff	private/index_color_1	
droideka.iff	private/index_color_1	
dz70_fugitive_tracker_droid.iff	private/index_color_1	
eg6_power_droid.iff	private/index_color_1	private/index_color_2
eg6_power_droid_crafted.iff	private/index_color_1	private/index_color_2
ev_9d9.iff	private/index_color_1	private/index_color_2
guardian_mark_ii_crafted.iff	private/index_color_1	private/index_color_2
ig_assassin_droid.iff	private/index_color_1	private/index_color_2
ins_444_crafted.iff	private/index_color_1	private/index_color_2
le_repair_droid.iff	private/index_color_1	
lin_demolitionmech.iff	private/index_color_1	
lin_demolitionmech.iff	private/index_color_1	
magnaguard.iff	private/index_color_1	
mouse_droid.iff	private/index_color_1	private/index_color_2
mouse_droid_crafted.iff	private/index_color_1	private/index_color_2
pit_droid.iff	private/index_color_1	private/index_color_2
probot.iff	private/index_color_1	
r2.iff	private/index_color_1	private/index_color_2
r2_crafted.iff	private/index_color_1	private/index_color_2
r2d2.iff	private/index_color_1	private/index_color_2
r3.iff	private/index_color_1	private/index_color_2
r3_crafted.iff	private/index_color_1	private/index_color_2
r4.iff	private/index_color_1	private/index_color_2
r4_crafted.iff	private/index_color_1	private/index_color_2
r5.iff	private/index_color_1	private/index_color_2
r5_crafted.iff	private/index_color_1	private/index_color_2
ra7_bug_droid.iff	private/index_color_1	private/index_color_2
robo_bartender.iff	private/index_color_1	private/index_color_2
super_battle_droid_crafted.iff	private/index_color_1	private/index_color_2
training_remote.iff	private/index_color_1	
tt8l.iff	private/index_color_1	private/index_color_2
wed_treadwell.iff	private/index_color_1	
mark_iv_sentry_droid_crafted.iff	private/index_color_1	
union_sentry_droid_crafted.iff	private/index_color_1	
