intLevel	intMinValue	intMaxValue	Pistol DPS	pistol_attack_speed	pistol_max_range	pistol_average_damage	pistol_min_damage	pistol_min_damage_min	pistol_min_damage_max	pistol_max_damage	pistol_max_damage_min	pistol_max_damage_max	Carbine DPS	carbine_attack_speed	carbine_max_range	carbine_average_damage	carbine_min_damage	carbine_min_damage_min	carbine_min_damage_max	carbine_max_damage	carbine_max_damage_min	carbine_max_damage_max	Rifle DPS	rifle_attack_speed	rifle_max_range	rifle_average_damage	rifle_min_damage	rifle_min_damage_min	rifle_min_damage_max	rifle_max_damage	rifle_max_damage_min	rifle_max_damage_max	onehandmelee sword DPS	onehandmelee_attack_speed	onehandmelee_max_range	onehandmelee_average_damage	onehandmelee_min_damage	onehandmelee_min_damage_min	onehandmelee_min_damage_max	onehandmelee_max_damage	onehandmelee_max_damage_min	onehandmelee_max_damage_max	twohandmelee sword DPS	twohandmelee_attack_speed	twohandmelee_max_range	twohandmelee_average_damage	twohandmelee_min_damage	twohandmelee_min_damage_min	twohandmelee_min_damage_max	twohandmelee_max_damage	twohandmelee_max_damage_min	twohandmelee_max_damage_max	polearm sword DPS	polearm_attack_speed	polearm_max_range	polearm_average_damage	polearm_min_damage	polearm_min_damage_min	polearm_min_damage_max	polearm_max_damage	polearm_max_damage_min	polearm_max_damage_max	unarmed sword DPS	unarmed_attack_speed	unarmed_max_range	unarmed_average_damage	unarmed_min_damage	unarmed_min_damage_min	unarmed_min_damage_max	unarmed_max_damage	unarmed_max_damage_min	unarmed_max_damage_max
i	i	i	c	f	f	c	i	i	i	i	i	i	c	f	f	c	i	i	i	i	i	i	c	f	f	i	i	i	i	i	i	i	c	f	f	i	i	i	i	i	i	i	c	f	f	i	i	i	i	i	i	i	c	f	f	i	i	i	i	i	i	i	c	f	f	i	i	i	i	i	i	i
0	0	150																																	5										5										5										5							
1	100	250	36	0.4	35	14	7	4	5	22	11	25	36	0.6	35	22	11	5	8	32	16	38	36	0.8	64	28.8	14	7	11	43	22	50	42	1	5	42	21	11	16	63	32	71	42	1	5	42	21	11	16	63	32	71	42	1	5	42	21	11	16	63	32	71	42	1	5	42	21	11	16	63	32	71
2	200	350	42	0.4	35	17	8	4	6	25	13	29	42	0.6	35	25	13	6	9	38	19	43	42	0.8	64	34	17	8	13	50	25	58	47	1	5	47	24	12	18	71	35	78	47	1	5	47	24	12	18	71	35	78	47	1	5	47	24	12	18	71	35	78	47	1	5	47	24	12	18	71	35	78
3	300	450	48	0.4	35	19	10	5	7	29	14	32	48	0.6	35	29	14	7	11	43	22	49	48	0.8	64	38	19	10	14	58	29	65	52	1	5	52	26	13	20	78	39	86	52	1	5	52	26	13	20	78	39	86	52	1	5	52	26	13	20	78	39	86	52	1	5	52	26	13	20	78	39	86
4	400	550	54	0.4	35	22	11	5	8	32	16	36	54	0.6	35	32	16	8	12	49	24	54	54	0.8	64	43	22	11	16	65	32	72	57	1	5	57	29	14	21	86	43	93	57	1	5	57	29	14	21	86	43	93	57	1	5	57	29	14	21	86	43	93	57	1	5	57	29	14	21	86	43	93
5	500	650	60	0.4	35	24	12	6	9	36	18	40	60	0.6	35	36	18	9	14	54	27	59	60	0.8	64	48	24	12	18	72	36	79	62	1	5	62	31	16	23	93	47	101	62	1	5	62	31	16	23	93	47	101	62	1	5	62	31	16	23	93	47	101	62	1	5	62	31	16	23	93	47	101
6	600	750	66	0.4	35	26	13	7	10	40	20	43	66	0.6	35	40	20	10	15	59	30	65	66	0.8	64	53	26	13	20	79	40	86	67	1	5	67	34	17	25	101	50	108	67	1	5	67	34	17	25	101	50	108	67	1	5	67	34	17	25	101	50	108	67	1	5	67	34	17	25	101	50	108
7	700	850	72	0.4	35	29	14	7	11	43	22	43	72	0.6	35	43	22	11	16	65	32	64	72	0.8	64	58	29	14	22	86	43	85	72	1	5	72	36	18	27	108	54	126	72	1	5	72	36	18	27	108	54	126	72	1	5	72	36	18	27	108	54	126	72	1	5	72	36	18	27	108	54	126
8	800	950	71	0.4	35	28	14	7	11	43	21	47	71	0.6	35	43	21	11	16	64	32	71	71	0.8	64	57	28	14	21	85	43	95	84	1	5	84	42	21	32	126	63	138	84	1	5	84	42	21	32	126	63	138	84	1	5	84	42	21	32	126	63	138	84	1	5	84	42	21	32	126	63	138
9	900	1050	79	0.4	35	32	16	8	12	47	24	52	79	0.6	35	47	24	12	18	71	36	78	79	0.8	64	63	32	16	24	95	47	104	92	1	5	92	46	23	35	138	69	150	92	1	5	92	46	23	35	138	69	150	92	1	5	92	46	23	35	138	69	150	92	1	5	92	46	23	35	138	69	150
10	1000	1150	87	0.4	35	35	17	9	13	52	26	57	87	0.6	35	52	26	13	20	78	39	86	87	0.8	64	70	35	17	26	104	52	114	100	1	5	100	50	25	38	150	75	162	100	1	5	100	50	25	38	150	75	162	100	1	5	100	50	25	38	150	75	162	100	1	5	100	50	25	38	150	75	162
11	1100	1250	95	0.4	35	38	19	10	14	57	29	62	95	0.6	35	57	29	14	21	86	43	93	95	0.8	64	76	38	19	29	114	57	124	108	1	5	108	54	27	41	162	81	174	108	1	5	108	54	27	41	162	81	174	108	1	5	108	54	27	41	162	81	174	108	1	5	108	54	27	41	162	81	174
12	1200	1350	103	0.4	35	41	21	10	15	62	31	67	103	0.6	35	62	31	15	23	93	46	100	103	0.8	64	82	41	21	31	124	62	133	116	1	5	116	58	29	44	174	87	186	116	1	5	116	58	29	44	174	87	186	116	1	5	116	58	29	44	174	87	186	116	1	5	116	58	29	44	174	87	186
13	1300	1450	111	0.4	35	44	22	11	17	67	33	71	111	0.6	35	67	33	17	25	100	50	107	111	0.8	64	89	44	22	33	133	67	143	124	1	5	124	62	31	47	186	93	198	124	1	5	124	62	31	47	186	93	198	124	1	5	124	62	31	47	186	93	198	124	1	5	124	62	31	47	186	93	198
14	1400	1550	119	0.4	35	48	24	12	18	71	36	76	119	0.6	35	71	36	18	27	107	54	114	119	0.8	64	95	48	24	36	143	71	152	132	1	5	132	66	33	50	198	99	210	132	1	5	132	66	33	50	198	99	210	132	1	5	132	66	33	50	198	99	210	132	1	5	132	66	33	50	198	99	210
15	1500	1650	127	0.4	35	51	25	13	19	76	38	86	127	0.6	35	76	38	19	29	114	57	129	127	0.8	64	102	51	25	38	152	76	172	140	1	5	140	70	35	53	210	105	233	140	1	5	140	70	35	53	210	105	233	140	1	5	140	70	35	53	210	105	233	140	1	5	140	70	35	53	210	105	233
