strName	strComments	strBaseAppearance	1statChance	2statChance	3statChance	4statChance	5statChance	6statChance
s	c	s	f[101]	f[101]	f[101]	f[101]	f[101]	f[101]
dynamic_armor_standard	Normal Armor	armor_standard	25	95	99.9			
dynamic_armor_jedi_standard	Jedi Clothing	clothing_jedi	25	95	99.9			
dynamic_armor_boss	Boss Drop	armor_standard	0	40	85	95		
dynamic_armor_jedi_boss	Boss Drop	clothing_jedi	0	40	85	95		
dynamic_armor_legendary	Epic/Expansion/Raid End Boss	armor_standard	0	0	0	20	70	98
dynamic_armor_jedi_legendary	Epic/Expansion/Raid End Boss	clothing_jedi	0	0	0	20	70	98
dynamic_armor_imperial_standard	Imp armor	armor_imperial	25	95	99.9			
dynamic_armor_rebel_standard	Reb armor	armor_rebel	25	95	99.9			
dynamic_armor_imperial_boss	Boss Drop	armor_imperial	0	40	85	95		
dynamic_armor_rebel_boss	Boss Drop	armor_rebel	0	40	85	95		
dynamic_armor_imperial_legendary	Epic/Expansion/Raid End Boss	armor_imperial	0	0	0	20	70	98
dynamic_armor_rebel_legendary	Epic/Expansion/Raid End Boss	armor_rebel	0	0	0	20	70	98
