objvar_name	objvar_value	item_objvar_name	examine_item_name	item_reward_name
s	s[none]	s	s	s
collectible.item_contained_01	0	collectible.gong	gong_adhesive	object/tangible/loot/collectible/collectible_rewards/gong.iff
collectible.item_contained_02	0		gong_skin_front	
collectible.item_contained_03	0		gong_skin_back	
collectible.item_contained_04	0		gong_structure_01	
collectible.item_contained_05	0		gong_structure_02	
collectible.item_contained_06	0		gong_structure_03	
collectible.item_contained_07	0		gong_structure_04	
collectible.item_contained_08	0		gong_structure_05	
collectible.item_contained_09	0		gong_structure_06	
collectible.item_contained_10	0		gong_structure_07	
