item	cash	token0	token1	token2	token3	token4	token5	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_aurilia_buff_crystal_03_01			1						theme_park.dathomir.aurilia.aurilia_buff_vendor	"token0 = akxva min, token1 = tusken, token2 = IG88, token3 = star destroyer, token4 = exar kun, token5 = echo base"
item_aurilia_buff_crystal_03_01		1							theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_01				1					theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_01					1				theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_01						1			theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_01							3		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_02			1	1					theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_02			1		1				theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_02			1			1			theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_02					1	1			theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_02						1	3		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_02					1		3		theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_03		1	1	1					theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_03		1	1		1				theme_park.dathomir.aurilia.aurilia_buff_vendor	
item_aurilia_buff_crystal_03_03		1	1			1			theme_park.dathomir.aurilia.aurilia_buff_vendor
item_aurilia_buff_crystal_03_03		1			1	1			theme_park.dathomir.aurilia.aurilia_buff_vendor
item_aurilia_buff_crystal_03_03		1	1		1		3		theme_park.dathomir.aurilia.aurilia_buff_vendor
item_aurilia_buff_crystal_03_03				1		1	3		theme_park.dathomir.aurilia.aurilia_buff_vendor
item_aurilia_buff_crystal_03_03						1	9		theme_park.dathomir.aurilia.aurilia_buff_vendor
