item	cash	token0	token1	token2	token3	token4	token5	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
armor_snowtrooper_belt							9	0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
armor_snowtrooper_bicep_l							9	0		"So in the case of this table only traders will see the ""all"" items."
armor_snowtrooper_bicep_r							9	0		
armor_snowtrooper_boots							9	0		
armor_snowtrooper_bracer_l							9	0		
armor_snowtrooper_bracer_r							9	0		
armor_snowtrooper_chest_plate							27	0		
armor_snowtrooper_gloves							9	0		
armor_snowtrooper_helmet							9	0		
armor_snowtrooper_leggings							9	0		
armor_snowtrooper_backpack							57	0		
item_tauntaun_dna							2	0		
item_echo_base_permafrost_crystal_06_01							50	7		
