item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_event_loveday_painting_2010		8							
item_event_loveday_fountain		8							
item_event_loveday_fountain_with_flowers		12							
item_event_loveday_crossbow		8							
item_event_loveday_ewok_cupid_costume		8							
item_event_loveday_wings_pink		16							
item_event_loveday_wings_blue		16							
item_event_loveday_wings_gold		16							
item_event_loveday_halo		16							
item_event_loveday_hearts		10							
item_costume_kit_holiday		2							
item_event_flower_from_2009	59000								
