level1	level2	level3	level4	level5	level6	level7	level8	level9	level10
s	s	s	s	s	s	s	s	s	s
object/tangible/ship/components/armor/arm_corellian_cheap_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_light_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_reinforced_light_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_standard_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_enhanced_heavy_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_heavy_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_advanced_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_improved_advanced_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_elite_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_enhanced_elite_plastisteel.iff
object/tangible/ship/components/armor/arm_gallofree_mk1.iff	object/tangible/ship/components/armor/arm_cygnus_light_weave.iff	object/tangible/ship/components/armor/arm_cygnus_standard_weave.iff	object/tangible/ship/components/armor/arm_freitek_standard.iff	object/tangible/ship/components/armor/arm_koensayr_light_advanced_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_special_standard_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_modified_heavy_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_supreme_durasteel.iff	object/tangible/ship/components/armor/arm_corellian_reinforced_supreme_durasteel.iff	object/tangible/ship/components/armor/arm_kessel_rebel_slayn_flexsteel_multilayer.iff
object/tangible/ship/components/armor/arm_incom_light_plate.iff	object/tangible/ship/components/armor/arm_freitek_deluxe_light.iff	object/tangible/ship/components/armor/arm_gallofree_mk2.iff	object/tangible/ship/components/armor/arm_incom_modified_standard_plate.iff	object/tangible/ship/components/armor/arm_kse_modified_heavy_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_advanced_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_supreme_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_limited_supreme_durasteel.iff	object/tangible/ship/components/armor/arm_kessel_imperial_rendili_crystalline_durasteel.iff	object/tangible/ship/components/armor/arm_mandal_elite_composite.iff
object/tangible/ship/components/armor/arm_koensayr_b5_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_reinforced_b5_durasteel.iff	object/tangible/ship/components/armor/arm_incom_standard_plate.iff	object/tangible/ship/components/armor/arm_koensayr_enhanced_standard_durasteel.iff	object/tangible/ship/components/armor/arm_mandal_custom_heavy_composite.iff	object/tangible/ship/components/armor/arm_koensayr_limited_heavy_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_thick_advanced_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_special_supreme_durasteel.iff	object/tangible/ship/components/armor/arm_kessel_imperial_sfs_imperial_finest.iff	object/tangible/ship/components/armor/arm_mandal_enhanced_elite_composite.iff
object/tangible/ship/components/armor/arm_koensayr_b9_durasteel.iff	object/tangible/ship/components/armor/arm_kse_intermediate_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_promotional_b9_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_heavy_durasteel.iff	object/tangible/ship/components/armor/arm_mandal_heavy_composite.iff	object/tangible/ship/components/armor/arm_kse_advanced_durasteel.iff	object/tangible/ship/components/armor/arm_kse_customized_advanced_durasteel.iff	object/tangible/ship/components/armor/arm_kse_elite_durasteel.iff	object/tangible/ship/components/armor/arm_kessel_rebel_mandal_corrugated_plastisteel.iff	object/tangible/ship/components/armor/arm_moncal_advanced_weave.iff
object/tangible/ship/components/armor/arm_mandal_composite_j5.iff	object/tangible/ship/components/armor/arm_kse_modified_light_durasteel.iff	object/tangible/ship/components/armor/arm_koensayr_standard_durasteel.iff	object/tangible/ship/components/armor/arm_kse_heavy_durasteel.iff	object/tangible/ship/components/armor/arm_sorosuub_heavy_plastisteel.iff	object/tangible/ship/components/armor/arm_kse_limited_heavy_durasteel.iff	object/tangible/ship/components/armor/arm_kse_supreme_durasteel.iff	object/tangible/ship/components/armor/arm_kse_modified_supreme_durasteel.iff	object/tangible/ship/components/armor/arm_kessel_rebel_sorosuub_spidershell_plating.iff	object/tangible/ship/components/armor/arm_moncal_elite_weave.iff
object/tangible/ship/components/armor/arm_moncal_light_weave.iff	object/tangible/ship/components/armor/arm_mandal_modifier_composite_j5.iff	object/tangible/ship/components/armor/arm_kse_standard_durasteel.iff	object/tangible/ship/components/armor/arm_mandal_double_plated_composite_j7.iff	object/tangible/ship/components/armor/arm_subpro_improved_standard_durasteel.iff	object/tangible/ship/components/armor/arm_mandal_double_insulated_i5.iff	object/tangible/ship/components/armor/arm_mandal_advanced_composite.iff	object/tangible/ship/components/armor/arm_mandal_double_insulated_i7.iff	object/tangible/ship/components/armor/arm_koensayr_elite_plastisteel.iff	object/tangible/ship/components/armor/arm_moncal_supreme_weave.iff
object/tangible/ship/components/armor/arm_rss_light_plastisteel.iff	object/tangible/ship/components/armor/arm_moncal_improved_light_weave.iff	object/tangible/ship/components/armor/arm_mandal_composite_j7.iff	object/tangible/ship/components/armor/arm_sds_triplate_system.iff	object/tangible/ship/components/armor/armor_subpro_light_plasteel.iff	object/tangible/ship/components/armor/arm_mandal_enhanced_heavy_composite.iff	object/tangible/ship/components/armor/arm_mandal_insulated_i7.iff	object/tangible/ship/components/armor/arm_mandal_reinforced_advanced_composite.iff	object/tangible/ship/components/armor/arm_koensayr_improved_elite_plastisteel.iff	object/tangible/ship/components/armor/arm_sorosuub_elite_plastisteel.iff
object/tangible/ship/components/armor/arm_sfs_light_durasteel.iff	object/tangible/ship/components/armor/arm_rendili_tough_plate.iff	object/tangible/ship/components/armor/arm_sfs_standard_durasteel.iff	object/tangible/ship/components/armor/arm_sfs_enhanced_standard_durasteel.iff	object/tangible/ship/components/armor/armor_trilon_custom.iff	object/tangible/ship/components/armor/armor_subpro_corrugated_durasteel.iff	object/tangible/ship/components/armor/arm_subpro_heavy_plastisteel.iff	object/tangible/ship/components/armor/arm_subpro_advanced_plasisteel.iff	object/tangible/ship/components/armor/arm_mandal_modified_supreme_composite.iff	object/tangible/ship/components/armor/arm_sorosuub_modified_elite_plastisteel.iff
object/tangible/ship/components/armor/arm_subpro_bargain_plastisteel.iff	object/tangible/ship/components/armor/arm_slayn_tech_weave.iff	object/tangible/ship/components/armor/arm_sorosuub_intemediate_plastisteel.iff	object/tangible/ship/components/armor/arm_sorosuub_special_intermediate_durasteel.iff	object/tangible/ship/components/armor/armor_trilon_unknown.iff	object/tangible/ship/components/armor/armor_subpro_reinforced_plasteel.iff	object/tangible/ship/components/armor/arm_subpro_limited_heavy_plastisteel.iff	object/tangible/ship/components/armor/arm_subpro_experimental_advanced_plastisteel.iff	object/tangible/ship/components/armor/arm_mandal_supreme_composite.iff	object/tangible/ship/components/armor/arm_subpro_elite_plastisteel.iff
object/tangible/ship/components/armor/armor_seinar_coated_plasteel.iff	object/tangible/ship/components/armor/arm_sorosuub_improved_light_plastisteel.iff	object/tangible/ship/components/armor/arm_subpro_improved_light_plastisteel.iff	object/tangible/ship/components/armor/arm_subpro_standard_plastisteel.iff					object/tangible/ship/components/armor/arm_sorosuub_advanced_plastisteel.iff	object/tangible/ship/components/armor/arm_subpro_special_elite_plastisteel.iff
object/tangible/ship/components/armor/armor_seinar_enhanced_plasteel.iff	object/tangible/ship/components/armor/armor_baktoid_mtt_prototype.iff	object/tangible/ship/components/armor/armor_freitek_es4_durasteel.iff	object/tangible/ship/components/armor/armor_alderaan_royal_plate.iff					object/tangible/ship/components/armor/arm_sorosuub_enhanced_advanced_plastisteel.iff	
	object/tangible/ship/components/armor/armor_baktoid_shock_armor.iff	object/tangible/ship/components/armor/armor_freitek_ew6_prototype.iff	object/tangible/ship/components/armor/armor_alderaan_royal_weave.iff					object/tangible/ship/components/armor/arm_subpro_enhanced_supreme_plastisteel.iff	
	object/tangible/ship/components/armor/armor_baktoid_spider_shell_g2.iff	object/tangible/ship/components/armor/armor_mandal_composite_j14.iff	object/tangible/ship/components/armor/armor_mandal_insulated_i5.iff					object/tangible/ship/components/armor/arm_subpro_supreme_plastisteel.iff	
