level1	level2	level3	level4	level5	level6	level7	level8	level9	level10
s	s	s	s	s	s	s	s	s	s
object/tangible/ship/components/engine/eng_corellian_cruiser_grade_mk1.iff	object/tangible/ship/components/engine/eng_corellian_deluxe_cruiser_grade_mk1.iff	object/tangible/ship/components/engine/eng_corellian_cruiser_grade_mk2.iff	object/tangible/ship/components/engine/eng_incom_fusialthrust.iff	object/tangible/ship/components/engine/eng_incom_heavy_fusialthrust.iff	object/tangible/ship/components/engine/eng_cygnus_hd8.iff	object/tangible/ship/components/engine/eng_freitek_dual_jet.iff	object/tangible/ship/components/engine/eng_cygnus_hdx.iff	object/tangible/ship/components/engine/eng_gallofree_advanced.iff	object/tangible/ship/components/engine/eng_incom_elite.iff
object/tangible/ship/components/engine/eng_cygnus_hd3.iff	object/tangible/ship/components/engine/eng_cygnus_hd_5.iff	object/tangible/ship/components/engine/eng_cygnus_hd7.iff	object/tangible/ship/components/engine/eng_koensayr_enhanced_dual_small_ionjet.iff	object/tangible/ship/components/engine/eng_kse_a7x.iff	object/tangible/ship/components/engine/eng_incom_advanced_fusialthrust.iff	object/tangible/ship/components/engine/eng_incom_fusialthrust_2.iff	object/tangible/ship/components/engine/eng_incom_improved_fusialthrust_2.iff	object/tangible/ship/components/engine/eng_incom_advanced.iff	object/tangible/ship/components/engine/eng_kessel_imperial_sds_special_forces.iff
object/tangible/ship/components/engine/eng_gallofree_jx2.iff	object/tangible/ship/components/engine/eng_gallofree_jx3.iff	object/tangible/ship/components/engine/eng_koensayr_dual_small_ionjet.iff	object/tangible/ship/components/engine/eng_mandal_x57_vandal.iff	object/tangible/ship/components/engine/eng_mandal_heavy.iff	object/tangible/ship/components/engine/eng_kse_a8x.iff	object/tangible/ship/components/engine/eng_mandal_firestorm.iff	object/tangible/ship/components/engine/eng_koensayr_heavy_ionjet.iff	object/tangible/ship/components/engine/eng_kessel_imperial_rendili_hyperion_drive.iff	object/tangible/ship/components/engine/eng_kessel_rebel_novaldex_blackhole_elite.iff
object/tangible/ship/components/engine/eng_haor_chall_old_engine.iff	object/tangible/ship/components/engine/eng_koensayr_tuned_small_ionjet.iff	object/tangible/ship/components/engine/eng_kse_a5x.iff	object/tangible/ship/components/engine/eng_moncal_charged_standard.iff	object/tangible/ship/components/engine/eng_moncal_heavy.iff	object/tangible/ship/components/engine/eng_mandal_enhanced_heavy.iff	object/tangible/ship/components/engine/eng_moncal_ifs32.iff	object/tangible/ship/components/engine/eng_mandal_firestorm_2.iff	object/tangible/ship/components/engine/eng_kessel_imperial_sfs_special_forces.iff	object/tangible/ship/components/engine/eng_koensayr_elite.iff
object/tangible/ship/components/engine/eng_incom_light_fusialthrust.iff	object/tangible/ship/components/engine/eng_kse_improved_a2x.iff	object/tangible/ship/components/engine/eng_moncal_standard.iff	object/tangible/ship/components/engine/eng_rss_imperial_skyrunner.iff	object/tangible/ship/components/engine/eng_rendili_demon_mk1.iff	object/tangible/ship/components/engine/eng_moncal_improved_heavy.iff	object/tangible/ship/components/engine/eng_novaldex_x7.iff	object/tangible/ship/components/engine/eng_moncal_ifs64.iff	object/tangible/ship/components/engine/eng_kessel_rebel_incom_t11_elite.iff	object/tangible/ship/components/engine/eng_kse_elite.iff
object/tangible/ship/components/engine/eng_koensayr_small_ionjet.iff	object/tangible/ship/components/engine/eng_moncal_enhanced_light.iff	object/tangible/ship/components/engine/eng_qualdex_kyromaster.iff	object/tangible/ship/components/engine/eng_sfs_tuned_imperial_2.iff	object/tangible/ship/components/engine/eng_sds_imperial_2.iff	object/tangible/ship/components/engine/eng_novaldex_x6.iff	object/tangible/ship/components/engine/eng_qualdex_b10.iff	object/tangible/ship/components/engine/eng_novaldex_x9.iff	object/tangible/ship/components/engine/eng_kessel_rebel_novaldex_grb1138.iff	object/tangible/ship/components/engine/eng_mandal_elite.iff
object/tangible/ship/components/engine/eng_kse_a2x.iff	object/tangible/ship/components/engine/eng_novaldex_eventhorizon.iff	object/tangible/ship/components/engine/eng_sfs_imperial_2.iff	object/tangible/ship/components/engine/engine_damorian_rx7.iff	object/tangible/ship/components/engine/eng_sfs_imperial_3.iff	object/tangible/ship/components/engine/eng_qualdex_a13.iff	object/tangible/ship/components/engine/eng_rss_imperial_skyrunner_3.iff	object/tangible/ship/components/engine/eng_rss_imperial_skyrunner_4.iff	object/tangible/ship/components/engine/eng_koensayr_advanced.iff	object/tangible/ship/components/engine/eng_qualdex_elite.iff
object/tangible/ship/components/engine/eng_mandal_x37_vandal.iff	object/tangible/ship/components/engine/eng_sds_limited_imperial_1.iff	object/tangible/ship/components/engine/eng_sorosuub_u83r_ion_drive.iff	object/tangible/ship/components/engine/engine_incom_e16.iff	object/tangible/ship/components/engine/engine_novaldex_singularity.iff	object/tangible/ship/components/engine/eng_rss_imperial_skyrunner_2.iff	object/tangible/ship/components/engine/eng_sfs_imperial_4.iff	object/tangible/ship/components/engine/eng_sfs_imperial_5.iff	object/tangible/ship/components/engine/eng_kse_advanced.iff	object/tangible/ship/components/engine/eng_rendili_elite.iff
object/tangible/ship/components/engine/eng_moncal_light.iff	object/tangible/ship/components/engine/eng_sfs_performance_imperial_1.iff	object/tangible/ship/components/engine/engine_seinar_ps56.iff	object/tangible/ship/components/engine/engine_kongar_defender.iff	object/tangible/ship/components/engine/engine_nubian_221.iff	object/tangible/ship/components/engine/eng_sfs_modified_imperial_3.iff	object/tangible/ship/components/engine/engine_kuat_a9x.iff	object/tangible/ship/components/engine/engine_kuat_tc40.iff	object/tangible/ship/components/engine/eng_mandal_advanced.iff	object/tangible/ship/components/engine/eng_rss_elite.iff
object/tangible/ship/components/engine/eng_novaldex_light_eventhorizon.iff	object/tangible/ship/components/engine/eng_sorosuub_tuned_l_337_ion_engine.iff	object/tangible/ship/components/engine/engine_surronian_a25.iff		object/tangible/ship/components/engine/engine_qualdex_a10.iff	object/tangible/ship/components/engine/engine_koensayr_ionjet.iff	object/tangible/ship/components/engine/engine_kuat_f31.iff	object/tangible/ship/components/engine/engine_qualdex_igt.iff	object/tangible/ship/components/engine/eng_novaldex_advanced.iff	object/tangible/ship/components/engine/eng_sfs_elite.iff
object/tangible/ship/components/engine/eng_qualdex_small_kyromaster.iff	object/tangible/ship/components/engine/engine_surronian_a2.iff				object/tangible/ship/components/engine/eng_h17_singularity.iff	object/tangible/ship/components/engine/eng_bezelbok_kessel_runner.iff		object/tangible/ship/components/engine/eng_qualdex_advanced.iff	object/tangible/ship/components/engine/engine_novaldex_x12.iff
object/tangible/ship/components/engine/eng_sds_imperial_1.iff								object/tangible/ship/components/engine/eng_rss_advanced.iff	object/tangible/ship/components/engine/engine_nubian_221_racing_mod.iff
object/tangible/ship/components/engine/eng_sfs_imperial_1.iff								object/tangible/ship/components/engine/eng_sfs_advanced.iff	
object/tangible/ship/components/engine/eng_sorosuub_l_337_ion_engine.iff								object/tangible/ship/components/engine/engine_ubrikkian_n2.iff	
object/tangible/ship/components/engine/eng_subpro_light_engines.iff
