trialName	trialType	trialNpc	trialNpcName	trialNum	trialTarget	trialTargetAmt	trialTargetVulnerable
s	s	s	s	i[-1]	s	i	i
craft_lightsaber	crafting	null	null	8	null	0	0
architect	optionTarget	patron_devaronian_male	Kant Graf (an architect)	-1	gungan_captain	1	1
artist	talkTarget	bestine_rumor12	Sathme Forr (an artist)	-1	commoner	0	0
bad_cat	killTarget	bestine_capitol02	Yvana Bailer (an actor)	-1	wrix_bloodstained_prowler	1	1
chef	killTarget	dannik_malaan	Seevi Nyed (a chef)	-1	cobral_overlord	1	1
pannaqa	talkTarget	null	null	-1	commoner_male	0	0
old_musician	talkTarget	grobber	Grizzlo (a retired musician)	-1	null	0	0
peoples_soldier	killTarget	patron_human_male_01	Torin Gundo (an old soldier)	-1	brigand_leader	1	1
sob_story	talkTarget	karena_keer	Erim Thelcar 	-1	object/tangible/jedi/padawan_trials_skeleton.iff	0	0
spice_mom	talkTarget	bestine_rumor10	Sola Nosconda	-1	commoner_devaronian	0	0
surveyor	killTarget	bestine_rumor08	Par Doiae (a surveyor)	-1	sharnaff_bull	1	1
politician	killTarget	patron_human_male_04	Kaul Dysen (a politician)	-1	bloodseeker_mite	1	1
the_ring	optionTarget	bestine_artist03	Keicho	-1	dread_pirate	1	1
kill_baz_nitch	huntAndDestroy	patron_sullustan	Menchi (an environmentalist)	-1	baz_nitch	20	1
kill_sludge_panther	huntAndDestroy	patron_human_female_03	Luha Kellaro (an ecologist)	-1	sludge_panther	20	1
kill_falumpaset	huntAndDestroy	patron_human_female_02	Braganta (a naturalist)	-1	falumpaset	20	1
