wke_fighters	trando_fighters	trando_scale	trando_cmd	wke_commando	wke_harwakokok
s	s	s	s	s	s
object/weapon/melee/polearm/lance_avatar_wke_heartlance.iff	object/weapon/ranged/carbine/carbine_avatar_trando.iff	object/weapon/ranged/carbine/carbine_avatar_trando.iff	object/weapon/ranged/carbine/carbine_avatar_trando.iff	object/weapon/melee/2h_sword/2h_sword_avatar_wke_toothpick.iff	object/weapon/melee/2h_sword/2h_sword_avatar_wke_toothpick.iff
object/weapon/melee/sword/sword_avatar_wke_spiritblade.iff	object/weapon/ranged/pistol/pistol_avatar_trando_special.iff	object/weapon/ranged/heavy/heavy_avatar_acid_beam.iff	object/weapon/ranged/heavy/heavy_avatar_acid_beam.iff	object/weapon/melee/polearm/lance_avatar_wke_heartlance.iff	object/weapon/melee/polearm/lance_avatar_wke_heartlance.iff
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	object/weapon/ranged/rifle/rifle_avatar_laser_trando.iff	object/weapon/ranged/pistol/pistol_avatar_trando_special.iff	object/weapon/ranged/pistol/pistol_avatar_trando_special.iff	object/weapon/melee/sword/sword_avatar_wke_spiritblade.iff	object/weapon/melee/sword/sword_avatar_wke_spiritblade.iff
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	object/weapon/melee/baton/baton_avatar_trando_stun_stick.iff	object/weapon/ranged/rifle/rifle_avatar_laser_trando.iff	object/weapon/ranged/rifle/rifle_avatar_laser_trando.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	object/tangible/furniture/ep3_rewards/avatar_hologram_squid.iff	object/weapon/melee/baton/baton_avatar_trando_stun_stick.iff	object/weapon/melee/baton/baton_avatar_trando_stun_stick.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	object/tangible/furniture/ep3_rewards/avatar_hologram_squid.iff	object/tangible/furniture/ep3_rewards/avatar_hologram_squid.iff	object/tangible/component/weapon/blaster_rifle_avatar_loot_barrel.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_brazier.iff	object/tangible/furniture/ep3_rewards/avatar_hologram_squid.iff	object/tangible/component/weapon/blaster_rifle_avatar_loot_barrel.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_brazier.iff	object/tangible/component/weapon/blaster_rifle_avatar_loot_barrel.iff		object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_brazier.iff	object/tangible/component/weapon/blaster_rifle_avatar_loot_barrel.iff		object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_collar.iff			object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_collar.iff			object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_glow_stick.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_collar.iff				
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_collar.iff				
object/tangible/loot/creature_loot/kashyyyk_loot/avatar_worklight.iff	object/tangible/furniture/ep3_rewards/avatar_hologram_squid.iff				
	object/tangible/furniture/ep3_rewards/avatar_hologram_squid.iff
	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_brazier.iff
	object/tangible/loot/creature_loot/kashyyyk_loot/avatar_slaver_brazier.iff
	object/tangible/component/weapon/blaster_rifle_avatar_loot_barrel.iff
