generic	resources	level1	level2	level3	level4	level5	level_range
s	s	s	s	s	s	s	s
datatables/loot/generic.iff:clothing	resource:ore:50	object/weapon/melee/knife/knife_stone.iff	resource:water:250	resource:water:350	resource:water:450	object/weapon/melee/polearm/lance_staff_wood_s1.iff	level1 0-4
datatables/loot/generic.iff:accessory	resource:metal:50	datatables/loot/npc/mercenary.iff:generic	resource:creature_resources:250	resource:creature_resources:350	resource:creature_resources:450	object/weapon/melee/polearm/lance_staff_wood_s2.iff	level2 5-9
datatables/loot/generic.iff:food	resource:water:50	resource:gemstone:100	object/weapon/melee/knife/knife_stone.iff	datatables/loot/generic.iff:food	object/weapon/melee/knife/knife_stone.iff	object/weapon/melee/axe/axe_heavy_duty.iff	level3 10-14
datatables/loot/generic.iff:container	resource:gemstone:10	resource:ore:150	object/weapon/melee/knife/knife_stone.iff	resource:ore:500	object/weapon/melee/knife/knife_stone.iff	gem:clothing	level4 15-19
datatables/loot/generic.iff:misc			gem:clothing	gem:clothing	gem:clothing	gem:armor	level5 20+
datatables/loot/generic.iff:tool			gem:armor	gem:armor	gem:armor	gem:clothing	
datatables/loot/npc/criminal.iff:resources				gem:clothing	gem:clothing	gem:armor	
				gem:armor	gem:armor	gem:clothing	
						gem:armor	
						gem:clothing	
						gem:armor	
						object/weapon/melee/knife/knife_stone.iff	
