imperial_logo_patch	rebel_logo_patch
s	s
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_07	col_rebel_logo_patch_01_07
col_imperial_logo_patch_01_08	col_rebel_logo_patch_01_08
col_imperial_logo_patch_01_09	col_rebel_logo_patch_01_09
col_imperial_logo_patch_01_10	col_rebel_logo_patch_01_10
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_01	col_rebel_logo_patch_01_01
col_imperial_logo_patch_01_02	col_rebel_logo_patch_01_02
col_imperial_logo_patch_01_03	col_rebel_logo_patch_01_03
col_imperial_logo_patch_01_04	col_rebel_logo_patch_01_04
col_imperial_logo_patch_01_05	col_rebel_logo_patch_01_05
col_imperial_logo_patch_01_06	col_rebel_logo_patch_01_06
col_imperial_logo_patch_01_07	col_rebel_logo_patch_01_07
col_imperial_logo_patch_01_08	col_rebel_logo_patch_01_08
col_imperial_logo_patch_01_09	col_rebel_logo_patch_01_09
col_imperial_logo_patch_01_10	col_rebel_logo_patch_01_10
