tusken_low	tusken_medium	tusken_high
s	s	s
object/tangible/wearables/bandolier/bandolier_tusken_raider_s01.iff	object/tangible/wearables/bandolier/bandolier_tusken_raider_s02.iff	object/tangible/wearables/bandolier/bandolier_tusken_raider_s03.iff
object/tangible/wearables/bandolier/bandolier_tusken_raider_s01.iff	object/tangible/wearables/bandolier/bandolier_tusken_raider_s02.iff	object/tangible/wearables/bandolier/bandolier_tusken_raider_s03.iff
object/tangible/wearables/bandolier/bandolier_tusken_raider_s01.iff	object/tangible/wearables/bandolier/bandolier_tusken_raider_s02.iff	object/tangible/wearables/robe/robe_tusken_raider_s01.iff
object/tangible/wearables/boots/boots_tusken_raider.iff	object/tangible/wearables/boots/boots_tusken_raider.iff	object/tangible/wearables/robe/robe_tusken_raider_s01.iff
object/tangible/wearables/boots/boots_tusken_raider.iff	object/tangible/wearables/boots/boots_tusken_raider.iff	object/tangible/wearables/robe/robe_tusken_raider_s02.iff
object/tangible/wearables/gloves/gloves_tusken_raider.iff	object/tangible/wearables/gloves/gloves_tusken_raider.iff	object/tangible/wearables/robe/robe_tusken_raider_s02.iff
object/tangible/wearables/gloves/gloves_tusken_raider.iff	object/tangible/wearables/gloves/gloves_tusken_raider.iff	object/tangible/wearables/boots/boots_tusken_raider.iff
object/tangible/wearables/helmet/helmet_tusken_raider_s01.iff	object/tangible/wearables/helmet/helmet_tusken_raider_s01.iff	object/tangible/wearables/helmet/helmet_tusken_raider_s01.iff
object/tangible/component/clothing/clasp_heavy_duty.iff	object/tangible/wearables/helmet/helmet_tusken_raider_s02.iff	object/tangible/wearables/helmet/helmet_tusken_raider_s02.iff
object/tangible/component/clothing/leather_heavy_duty.iff	object/tangible/component/clothing/clasp_heavy_duty.iff	object/tangible/wearables/gloves/gloves_tusken_raider.iff
	object/tangible/component/clothing/leather_heavy_duty.iff	object/tangible/loot/loot_schematic/tanning_hide_s01_schematic.iff
	object/tangible/wearables/robe/robe_tusken_raider_s01.iff	object/tangible/loot/loot_schematic/tanning_hide_s02_schematic.iff
	object/tangible/wearables/robe/robe_tusken_raider_s02.iff	object/tangible/loot/loot_schematic/tatooine_tapestry_schematic.iff
