boss_npc_1_10	boss_npc_11_20	boss_npc_21_30	boss_npc_31_40	boss_npc_41_50	boss_npc_51_60	boss_npc_61_70	boss_npc_71_80	boss_npc_81_90	boss_force_light_npc_71_80	boss_force_dark_npc_71_80	boss_force_light_npc_81_90	boss_force_dark_npc_81_90
s	s	s	s	s	s	s	s	s	s	s	s	s
wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard		wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_clothing_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
	crafting_loot/weapon_components:wp_comp_11_20	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_standard	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
		wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_armor_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss
		wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_clothing_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
		wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
		wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
		wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
		wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
		crafting_loot/weapon_components:wp_comp_21_30	crafting_loot/weapon_components:wp_comp_31_40	crafting_loot/weapon_components:wp_comp_41_50	crafting_loot/weapon_components:wp_comp_51_60	crafting_loot/weapon_components:wp_comp_61_70	crafting_loot/saber_crystals_high:power_crystal	crafting_loot/saber_crystals_high:power_crystal	wearables/dynamic_armor_boss	crafting_loot/saber_crystals_high:power_crystal	crafting_loot/saber_crystals_high:power_crystal	crafting_loot/saber_crystals_high:power_crystal
							crafting_loot/weapon_components:wp_comp_71_80	crafting_loot/weapon_components:wp_comp_81_90	crafting_loot/saber_crystals_high:power_crystal			crafting_loot/weapon_components:wp_boss_force_81_90
