npc_type	stealableObjects	weight
h	s	i
imperial_inquisitor	object/tangible/loot/tool/datapad_broken.iff	50
	object/tangible/loot/loot_schematic/technical_console_s01_schematic.iff	1
	object/tangible/painting/painting_leia_wanted.iff	1
tatooine_opening_swooper_8	static:item_npe_junk_copper_battery_01_01	25
	static:item_npe_junk_worklight_01_01	15
	static:item_roadmap_spice_gunjack_01_02	15
	static:item_npe_junk_palm_diary_01_01	15
	static:item_npe_junk_decryptor_01_01	15
	static:item_stimpack_a_02_01	3
tatooine_opening_swooper_9	static:item_npe_junk_ampule_container_01_01	35
	static:item_npe_junk_blank_datadisk_01_01	25
	static:item_tooth_01_01	15
	static:item_junk_npc_76thru82_01_04	15
	static:item_roadmap_spice_gunjack_01_02	3
	static:item_stimpack_a_02_01	3
	static:weapon_pistol_04_01	1
tatooine_opening_swooper_10	static:item_npe_junk_copper_battery_01_01	35
	static:item_npe_junk_worklight_01_01	25
	static:item_npe_junk_palm_diary_01_01	20
	static:item_npe_junk_decryptor_01_01	20
	static:item_stimpack_a_02_01	3
	static:item_roadmap_spice_gunjack_01_02	3
	static:item_npe_will_buff_01_01	1
tatooine_opening_swooper_11	static:item_npe_junk_newsfilter_module_01_01	35
	static:item_npe_junk_ampule_container_01_01	25
	static:item_junk_npc_76thru82_01_04	15
	static:item_stimpack_a_02_01	10
	static:item_roadmap_spice_gunjack_01_02	3
	static:item_npe_junk_imitation_pearl_01_01	3
	static:weapon_carbine_04_01	1
tatooine_opening_swooper_12	static:item_npe_junk_holo_recorder_01_01	30
	static:item_npe_junk_newsfilter_module_01_01	25
	static:item_junk_npc_76thru82_01_04	15
	static:item_roadmap_spice_gunjack_01_02	5
	static:weapon_grenade_fragmentation_01_01	3
	static:item_npe_health_paste_01_01	1
	static:item_content_charged_health_stam_will_03_01	1
tatooine_opening_swooper_13	static:item_junk_npc_11thru15_01_03	30
	static:item_npe_junk_briefcase_01_01	30
	static:item_npe_junk_circuit_board_01_01	25
	static:item_junk_droid_11thru15_01_04	20
	static:item_stimpack_a_02_01	5
	static:item_roadmap_spice_giggledust_01_02	5
	static:weapon_grenade_fragmentation_01_01	3
	static:item_stimpack_b_02_01	1
	static:item_npe_will_buff_01_01	1
tatooine_opening_swooper_14	static:item_npe_junk_worklight_01_01	40
	static:item_npe_junk_newsfilter_module_01_01	35
	static:item_junk_npc_16thru20_01_04	15
	static:item_junk_npc_76thru82_01_04	15
	static:item_roadmap_spice_giggledust_01_02	5
	static:weapon_grenade_fragmentation_01_01	3
	static:item_npe_health_paste_01_01	3
	static:item_content_charged_health_stam_will_03_01	1
	static:weapon_rifle_04_01	1
tatooine_opening_swooper_15	static:item_npe_junk_holo_recorder_01_01	40
	static:item_npe_junk_blank_datadisk_01_01	35
	static:item_npe_junk_newsfilter_module_01_01	35
	static:item_powerup_melee_eledamage_01_01	3
	static:item_powerup_ranged_damage_01_01	3
	static:item_roadmap_spice_giggledust_01_02	5
	static:item_roadmap_spice_gunjack_01_02	5
	static:weapon_grenade_fragmentation_01_01	3
	static:weapon_content_carbine_tier_7_03_01	1
tatooine_opening_cultist_8	static:item_junk_npc_1thru5_01_01	35
	static:item_tatooine_junk_mutant_womprat_01_01	25
	static:item_junk_npc_21thru25_01_04	20
	static:item_junk_npc_1thru5_01_02	15
	static:item_food_foraged_fruit_02_01	10
	static:item_tatooine_junk_matriarch_bantha_01_01	5
	static:item_tatooine_junk_bantha_01_01	3
	static:item_roadmap_food_drink_vasarian_brandy_01_02	1
tatooine_opening_cultist_9	static:item_tatooine_junk_wild_dune_boar_01_01	35
	static:item_tatooine_junk_zucca_boar_01_01	25
	static:item_tatooine_junk_kreetle_01_01	20
	static:item_food_foraged_vegetable_02_02	15
	static:item_food_foraged_fruit_02_04	10
	static:item_food_edible_jar_bugs_02_01	5
	static:item_roadmap_food_drink_vasarian_brandy_01_02	3
	static:weapon_sword_1h_04_01	1
tatooine_opening_cultist_10	static:item_tatooine_junk_dragonet_01_01	35
	static:item_junk_npc_1thru5_01_01	25
	static:item_junk_npc_21thru25_01_04	20
	static:item_food_foraged_fruit_02_01	15
	static:item_food_edible_jar_bugs_02_01	10
	static:item_stimpack_a_02_01	5
	static:weapon_sword_1h_02_05	3
	static:item_powerup_melee_damage_02_01	1
tatooine_opening_cultist_11	static:item_tatooine_junk_zucca_boar_01_01	35
	static:item_food_foraged_fruit_02_04	25
	static:item_junk_npc_21thru25_01_04	20
	static:item_food_foraged_fruit_02_01	15
	static:item_tatooine_junk_bantha_01_01	10
	static:item_stimpack_a_02_01	5
	static:weapon_sword_1h_04_01	3
	static:item_npe_backpack_reward_01_01	1
tatooine_opening_cultist_12	static:item_tatooine_junk_mutant_womprat_01_01	35
	static:item_tatooine_junk_kreetle_01_01	25
	static:item_food_foraged_fruit_02_01	20
	static:item_food_edible_jar_bugs_02_01	15
	static:item_junk_npc_21thru25_01_04	10
	static:item_tatooine_junk_bantha_01_01	5
	static:weapon_sword_1h_04_01	3
	static:item_npe_backpack_reward_01_01	1
spymaster_21	object/tangible/quest/prof_spy_21_incom_plans.iff	1
