strTemplate	intMinDifficulty	intMaxDifficulty	strDetailTemplate	strIdFileName	intStringId	intSize	intNumToSpawn	strTemplateToSpawn	intMinReward	intMaxReward	strBuildingType	strLairType	strObjective	strObjectiveTarget	fltKillPercentage	strTargetType
s	i	i	s	s	i	i	i	s	i	i	s	s	s	s	f	s
object/tangible/lair/npc_lair.iff	3	6	object/tangible/lair/base/objective_banner_generic_2.iff					25	64	121		global_bothan_information_broker_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	3	6	object/tangible/lair/base/objective_banner_generic_2.iff					25	64	121		global_rodian_thug_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	4	6	object/tangible/lair/base/objective_banner_generic_2.iff					25	64	121		global_brigand_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	5	6	object/tangible/lair/base/objective_banner_generic_2.iff					25	64	121		global_miner_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	6	6	object/tangible/lair/base/objective_banner_generic_2.iff					25	64	121		global_slicer_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	7	8	object/tangible/lair/base/objective_banner_generic_2.iff					25	64	121		global_gambler_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	7	8	object/tangible/lair/base/objective_banner_generic_2.iff					25	64	121		global_wookiee_brawler_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	8	10	object/tangible/lair/base/objective_banner_generic_2.iff					25	64	121		global_pirate_cutthroat_camp_neutral_medium_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	10	14	object/tangible/lair/base/objective_banner_generic_2.iff					40	100	225		global_brigand_highwayman_camp_neutral_large_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	11	16	object/tangible/lair/base/objective_banner_generic_2.iff					15	121	289		global_gambler_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	11	16	object/tangible/lair/base/objective_banner_generic_2.iff					15	121	289		global_thief_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	13	21	object/tangible/lair/base/objective_banner_generic_2.iff					15	121	289		global_brigand_scout_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	17	29	object/tangible/lair/base/objective_banner_generic_2.iff					15	289	841		global_pirate_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	17	29	object/tangible/lair/base/objective_banner_generic_2.iff					15	289	841		global_terrorist_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	17	29	object/tangible/lair/base/objective_banner_generic_2.iff					25	289	841		global_pirate_leader_camp_neutral_medium_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	19	500	object/tangible/lair/base/objective_banner_generic_2.iff					25	361	1089		global_pirate_captain_camp_neutral_medium_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	19	500	object/tangible/lair/base/objective_banner_generic_2.iff					40	361	1089		global_brigand_leader_camp_neutral_large_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	22	500	object/tangible/lair/base/objective_banner_generic_2.iff					15	484	1521		global_assassin_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	22	500	object/tangible/lair/base/objective_banner_generic_2.iff					15	484	1521		global_thief_camp2_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	22	500	object/tangible/lair/base/objective_banner_generic_2.iff					15	484	1521		global_pirate_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	22	500	object/tangible/lair/base/objective_banner_generic_2.iff					40	484	1521		global_pirate_dread_camp_neutral_large_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
object/tangible/lair/npc_lair.iff	23	500	object/tangible/lair/base/objective_banner_generic_2.iff					15	529	1681		global_bounty_hunter_camp_neutral_small_theater		object/tangible/lair/base/objective_banner_generic_2.iff		npc
