strResourceEasy	strDetailTemplateEasy	strResourceHard	strDetailTemplateHard
s	s	s	s
metal	object/resource_container/inorganic_minerals.iff	fuel_petrochem_liquid	object/resource_container/energy_liquid.iff
ore	object/resource_container/inorganic_minerals.iff	petrochem_inert	object/resource_container/inorganic_chemicals.iff
gas	object/resource_container/inorganic_gas.iff	fuel_petrochem_solid	object/resource_container/energy_solid.iff
		radioactive	object/resource_container/energy_radioactive.iff
		metal_ferrous	object/resource_container/inorganic_minerals.iff
		ore_igneous	object/resource_container/inorganic_minerals.iff
		ore_extrusive	object/resource_container/inorganic_minerals.iff
		ore_sedimentary	object/resource_container/inorganic_minerals.iff
		ore_siliclastic	object/resource_container/inorganic_minerals.iff
		gemstone_armophous	object/resource_container/inorganic_minerals.iff
		gemstone_crystalline	object/resource_container/inorganic_minerals.iff
		metal_nonferrous	object/resource_container/inorganic_minerals.iff
		gas_reactive	object/resource_container/energy_gas.iff
		gas_inert	object/resource_container/inorganic_gas.iff
