word	root	type	plain_resource	energy_resource	mineral_resource	reactive_gas_resource
s	s	s	i	i	i	i
tri		p	0	100	100	0
quad		p	0	100	100	0
di		p	0	100	100	0
dur		p	0	100	100	0
carb		p	0	100	100	0
omni		p	0	100	100	0
di		q	0	100	100	0
tri		q	0	100	100	0
tetra		q	0	100	100	0
iso		q	0	100	100	0
neo		q	0	100	100	0
iam		s	0	100	100	0
ian		s	0	100	100	0
ic		s	0	100	100	0
ine		s	0	100	100	0
ium		s	0	100	100	0
ism		s	0	100	100	0
ite		s	0	100	100	0
ris		s	0	100	100	0
sis		s	0	100	100	0
ide		s	0	100	100	0
ate		s	0	100	100	0
meth		t	0	0	0	100
eth		t	0	0	0	100
prop		t	0	0	0	100
but		t	0	0	0	100
pent		t	0	0	0	100
hex		t	0	0	0	100
hept		t	0	0	0	100
oct		t	0	0	0	100
non		t	0	0	0	100
dec		t	0	0	0	100
gen		t	0	0	0	100
oic-acid		u	0	0	0	100
ate		u	0	0	0	100
ene		u	0	0	0	100
yl		u	0	0	0	100
