template	name	cost	declared
s	s	i	i
assault_trooper	Assault Trooper	600	0
bombardier	Bombardier	150	0
command_security_guard	Command Security Guard	150	0
compforce_trooper	Compforce Trooper	525	0
dark_trooper	Dark Trooper	3000	0
gunner	Gunner	150	0
imperial_private	Private	150	0
imperial_trooper	Trooper	150	0
sand_trooper	Sand Trooper	600	0
scout_trooper	Scout Trooper	600	0
storm_commando	Storm commando	660	0
stormtrooper	Stormtrooper	600	0
stormtrooper_bombardier	Stormtrooper Bombardier	600	0
stormtrooper_medic	Stormtrooper Medic	600	0
stormtrooper_rifleman	Stormtrooper Rifleman	600	0
stormtrooper_sniper	Stormtrooper Sniper	600	0
swamp_trooper	Swamp Trooper	600	0
at_st	AT-ST	13500	0
