items	price	reward
s	i[-1]	s
object/tangible/loot/quest/mind_pod_eye.iff	1000	
object/tangible/loot/quest/mind_pod_sac.iff	900	
object/tangible/loot/quest/mind_pod_brain.iff	2000	
object/tangible/loot/quest/mind_pod_stomach.iff	800	
object/tangible/loot/quest/naktra_crystal.iff	3000	
object/tangible/loot/quest/mind_pod_parasites.iff	700	
object/tangible/loot/quest/mind_pod_blood.iff	1500	
object/tangible/loot/quest/mind_pod_guts.iff	1800	
object/tangible/loot/quest/mind_pod_slime.iff	2500	
object/tangible/loot/quest/decomposed_foot.iff	1900	
object/tangible/loot/quest/decomposed_hand.iff	2100	
object/tangible/loot/quest/decomposed_skull.iff	1550	
object/tangible/loot/quest/broken_bottle.iff	100	
