tatooine_jabba_thief	thug_aqualish_female	thug_aqualish_male	thug_bith_female	thug_bith_male	thug_bothan_female	thug_bothan_male	thug_gran_male	thug_human_female	thug_human_male	thug_rodian_female	thug_rodian_male	thug_trandoshan_female	thug_trandoshan_male	thug_twilek_female	thug_twilek_male	thug_zabrak_female	thug_zabrak_male	trainer_architect	trainer_armorsmith	trainer_artisan	trainer_bioengineer	trainer_bountyhunter	trainer_brawler	trainer_carbine	trainer_chef	trainer_combatmedic	trainer_commando	trainer_creaturehandler	trainer_dancer	trainer_doctor	trainer_droidengineer	trainer_entertainer	trainer_imagedesigner	trainer_marksman	trainer_medic	trainer_merchant	trainer_musician	trainer_pistol	trainer_polearm	trainer_politician	trainer_ranger	trainer_rifleman	trainer_scout	trainer_smuggler	trainer_squadleader	trainer_sword	trainer_tailor	trainer_unarmed	trainer_weaponsmith	trandoshan_researcher	talus_ttlp_soldier	talus_dearic_coa_aclo_commando	talus_dearic_coa_aclo_officer	talus_dearic_coa_aclo_personnel	talus_dearic_coa_aclo_saboteur	talus_dearic_coa_aclo_slicer	talus_dearic_coa_aclo_soldier	talus_dearic_coa_aclo_technician	talus_dearic_coa_lag_enforcer	talus_dearic_coa_lag_officer	talus_dearic_coa_lag_personnel	talus_dearic_coa_lag_technician	tatooine_laserflit	talus_dearic_coa_aclo_prisoner	trader_thug	thug_generic
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
dressed_tatooine_jabba_thief.iff	dressed_criminal_thug_aqualish_female_01.iff	dressed_criminal_thug_aqualish_male_01.iff	dressed_desperado_bith_female_01.iff	dressed_desperado_bith_male_01.iff	dressed_criminal_thug_bothan_female_01.iff	dressed_criminal_thug_bothan_male_01.iff	dressed_gran_thug_male_01.iff	dressed_criminal_thug_human_female_01.iff	dressed_criminal_thug_human_male_01.iff	dressed_criminal_thug_rodian_female_01.iff	dressed_criminal_thug_rodian_male_01.iff	dressed_criminal_thug_trandoshan_female_01.iff	dressed_criminal_thug_trandoshan_male_01.iff	dressed_goon_twk_female_01.iff	dressed_robber_twk_male_01.iff	dressed_criminal_thug_zabrak_female_01.iff	dressed_criminal_thug_zabrak_male_01.iff	dressed_architect_trainer_01.iff	dressed_armorsmith_trainer_01.iff	dressed_artisan_trainer_01.iff	dressed_bioengineer_trainer_01.iff	dressed_bountyhunter_trainer_01.iff	dressed_brawler_trainer_01.iff	dressed_carbine_trainer_01.iff	dressed_chef_trainer_devaronian_male_01.iff	dressed_combatmedic_trainer_human_female_01.iff	dressed_commando_trainer_human_male_01.iff	dressed_creaturehandler_trainer_human_male_01.iff	dressed_dancer_trainer_human_female_01.iff	dressed_doctor_trainer_human_female_01.iff	dressed_droidengineer_trainer_human_male_01.iff	dressed_entertainer_trainer_human_female_01.iff	dressed_image_designer_trainer_01.iff	dressed_marksman_trainer_01.iff	dressed_medic_trainer_01.iff	dressed_industrialist_trainer_01.iff	dressed_musician_trainer_01.iff	dressed_pistol_trainer_01.iff	dressed_polearm_trainer_01.iff	dressed_noble_fat_twilek_male_02.iff	dressed_ranger_trainer_01.iff	dressed_rifleman_trainer_01.iff	dressed_scout_trainer_01.iff	dressed_smuggler_trainer_01.iff	dressed_squad_leader_trainer_01.iff	dressed_1handsword_trainer_01.iff	dressed_tailor_trainer_01.iff	dressed_unarmed_trainer_01.iff	dressed_weaponsmith_trainer_01.iff	ep3/ep3_clone_relics_trandoshan_researcher_01.iff	dressed_talus_ttlp_soldier_hum_f_01.iff	coa_aclo_commando_klaatu.iff	coa_aclo_officer_aqualish_m01.iff	coa_aclo_personnel_gotal_m.iff	coa_aclo_saboteur_human_m.iff	coa_aclo_slicer_aqual_f.iff	coa_aclo_soldier_arcona1.iff	coa_aclo_tech_gran.iff	coa_lag_enforcer_hum_f.iff	coa_lag_officer_hum_m.iff	coa_lag_personnel_hum_f1.iff	coa_lag_technician_hum_m1.iff	dressed_tatooine_laserflit_hum_f01.iff	coa_aclo_commando_klaatu.iff	dressed_trader_thug_female_human_01.iff	dressed_criminal_thug_aqualish_female_01.iff
dressed_tatooine_jabba_thug.iff	dressed_criminal_thug_aqualish_female_02.iff	dressed_criminal_thug_aqualish_male_02.iff					dressed_gran_thug_male_02.iff	dressed_criminal_thug_human_female_02.iff	dressed_criminal_thug_human_male_02.iff	dressed_hooligan_rodian_female_01.iff	dressed_hooligan_rodian_male_01.iff	dressed_villain_trandoshan_female_01.iff	dressed_villain_trandoshan_male_01.iff	dressed_robber_twk_female_01.iff	dressed_goon_twk_male_01.iff	dressed_crook_zabrak_female_01.iff	dressed_crook_zabrak_male_01.iff	dressed_architect_trainer_02.iff	dressed_armorsmith_trainer_02.iff	dressed_artisan_trainer_02.iff	dressed_bioengineer_trainer_02.iff	dressed_bountyhunter_trainer_02.iff	dressed_brawler_trainer_02.iff	dressed_carbine_trainer_02.iff	dressed_chef_trainer_human_female_01.iff	dressed_combatmedic_trainer_human_male_01.iff	dressed_commando_trainer_rodian_male_01.iff	dressed_creaturehandler_trainer_rodian_female_01.iff	dressed_dancer_trainer_human_female_02.iff	dressed_doctor_trainer_moncal_female_01.iff	dressed_droidengineer_trainer_moncal_male_01.iff	dressed_entertainer_trainer_twk_female_01.iff	dressed_image_designer_trainer_02.iff	dressed_marksman_trainer_02.iff	dressed_medic_trainer_02.iff	dressed_industrialist_trainer_02.iff	dressed_musician_trainer_02.iff	dressed_pistol_trainer_02.iff	dressed_polearm_trainer_02.iff	dressed_noble_fat_zabrak_male_01.iff	dressed_ranger_trainer_02.iff	dressed_rifleman_trainer_02.iff	dressed_scout_trainer_02.iff	dressed_smuggler_trainer_02.iff	dressed_squad_leader_trainer_02.iff	dressed_1handsword_trainer_02.iff	dressed_tailor_trainer_02.iff	dressed_unarmed_trainer_02.iff	dressed_weaponsmith_trainer_02.iff	ep3/ep3_clone_relics_trandoshan_researcher_02.iff	dressed_talus_ttlp_soldier_hum_f_02.iff	coa_aclo_commando_nikto.iff	coa_aclo_officer_sullust_m01.iff	coa_aclo_personnel_moncal_m.iff	coa_aclo_saboteur_zabrak_f.iff	coa_aclo_slicer_devaronian.iff	coa_aclo_soldier_bith_female_01.iff	coa_aclo_tech_hum_m1.iff	coa_lag_enforcer_hum_m.iff	coa_lag_officer_hum_m2.iff	coa_lag_personnel_hum_f2.iff	coa_lag_technician_hum_m2.iff	dressed_tatooine_laserflit_hum_f02.iff	coa_aclo_commando_nikto.iff	dressed_trader_thug_female_human_02.iff	dressed_criminal_thug_aqualish_female_02.iff
								dressed_robber_human_female_01.iff	dressed_robber_human_male_01.iff							dressed_hoodlum_zabrak_female_01.iff	dressed_hoodlum_zabrak_male_01.iff	dressed_architect_trainer_03.iff	dressed_armorsmith_trainer_03.iff	dressed_artisan_trainer_03.iff	dressed_bioengineer_trainer_03.iff	dressed_bountyhunter_trainer_03.iff	dressed_brawler_trainer_03.iff	dressed_carbine_trainer_03.iff	dressed_chef_trainer_human_male_01.iff	dressed_combatmedic_trainer_rodian_male_01.iff	dressed_commando_trainer_trandoshan_male_01.iff	dressed_creaturehandler_trainer_zabrak_male_01.iff	dressed_dancer_trainer_twk_female_01.iff	dressed_doctor_trainer_moncal_male_01.iff	dressed_droidengineer_trainer_rodian_male_01.iff	dressed_entertainer_trainer_twk_male_01.iff	dressed_image_designer_trainer_03.iff	dressed_marksman_trainer_03.iff	dressed_medic_trainer_03.iff	dressed_industrialist_trainer_03.iff	dressed_musician_trainer_03.iff	dressed_pistol_trainer_03.iff	dressed_polearm_trainer_03.iff	dressed_noble_fat_human_male_01.iff	dressed_ranger_trainer_03.iff	dressed_rifleman_trainer_03.iff	dressed_scout_trainer_03.iff	dressed_smuggler_trainer_03.iff	dressed_squad_leader_trainer_03.iff	dressed_1handsword_trainer_03.iff	dressed_tailor_trainer_03.iff	dressed_unarmed_trainer_03.iff	dressed_weaponsmith_trainer_03.iff	ep3/ep3_clone_relics_trandoshan_researcher_03.iff	dressed_talus_ttlp_soldier_hum_f_03.iff			coa_aclo_personnel_talz.iff	coa_aclo_saboteur_nautolan.iff	coa_aclo_slicer_twil_m.iff	coa_aclo_soldier_geonosian.iff	coa_aclo_tech_rod_f.iff	coa_lag_enforcer_hum_m2.iff		coa_lag_personnel_hum_f3.iff		dressed_tatooine_laserflit_aqualish_f01.iff	coa_aclo_officer_aqualish_m01.iff	dressed_trader_thug_female_human_03.iff	dressed_criminal_thug_aqualish_male_01.iff
																dressed_ruffian_zabrak_female_01.iff	dressed_ruffian_zabrak_male_01.iff					dressed_bountyhunter_trainer_04.iff														dressed_merchant_trainer_01.iff				dressed_merchant_trainer_01.iff						dressed_2handsword_trainer_01.iff				ep3/ep3_clone_relics_trandoshan_researcher_04.iff	dressed_talus_ttlp_soldier_hum_m_01.iff			coa_aclo_wookie_f.iff	coa_aclo_saboteur_quarren.iff		coa_aclo_soldier_hum_f_01.iff	coa_aclo_slicer_aqual_f.iff			coa_lag_personnel_hum_m1.iff		dressed_tatooine_laserflit_hum_m01.iff	coa_aclo_officer_sullust_m01.iff	dressed_trader_thug_female_twk_01.iff	dressed_criminal_thug_aqualish_male_02.iff
																						dressed_bounty_hunter_zabrak_female_01.iff														dressed_merchant_trainer_02.iff				dressed_image_designer_trainer_02.iff						dressed_2handsword_trainer_02.iff				ep3/ep3_clone_relics_trandoshan_researcher_05.iff	dressed_talus_ttlp_soldier_hum_m_02.iff			coa_aclo_slicer_aqual_f.iff	coa_aclo_saboteur_weequay_m.iff		coa_aclo_soldier_hum_m_01.iff	coa_aclo_slicer_devaronian.iff			coa_lag_personnel_hum_m2.iff		dressed_tatooine_laserflit_hum_m02.iff	coa_aclo_personnel_gotal_m.iff	dressed_trader_thug_female_twk_02.iff	dressed_desperado_bith_female_01.iff
																																				dressed_merchant_trainer_03.iff										dressed_2handsword_trainer_03.iff				ep3/ep3_clone_relics_trandoshan_researcher_06.iff	dressed_talus_ttlp_soldier_hum_m_03.iff			coa_aclo_slicer_devaronian.iff			coa_aclo_soldier_trand.iff	coa_aclo_slicer_twil_m.iff					dressed_tatooine_laserflit_itib_m_01.iff	coa_aclo_personnel_moncal_m.iff	dressed_trader_thug_male_human_01.iff	dressed_desperado_bith_male_01.iff
																																																		ep3/ep3_clone_relics_trandoshan_researcher_07.iff				coa_aclo_slicer_twil_m.iff			coa_aclo_soldier_twilek_female_01.iff	coa_aclo_personnel_gotal_m.iff						coa_aclo_personnel_talz.iff	dressed_trader_thug_male_human_02.iff	dressed_criminal_thug_bothan_female_01.iff
																																																		ep3/ep3_clone_relics_trandoshan_researcher_08.iff				coa_aclo_tech_gran.iff			coa_aclo_wookie_f.iff	coa_aclo_personnel_moncal_m.iff						coa_aclo_wookie_f.iff	dressed_trader_thug_male_human_03.iff	dressed_criminal_thug_bothan_male_01.iff
																																																						coa_aclo_tech_hum_m1.iff				coa_aclo_personnel_talz.iff						coa_aclo_slicer_aqual_f.iff	dressed_trader_thug_male_moncal_01.iff	dressed_gran_thug_male_01.iff
																																																						coa_aclo_tech_rod_f.iff				coa_aclo_wookie_f.iff						coa_aclo_slicer_devaronian.iff	dressed_trader_thug_male_moncal_02.iff	dressed_gran_thug_male_02.iff
																																																																coa_aclo_slicer_twil_m.iff	dressed_trader_thug_male_twk_01.iff	dressed_criminal_thug_human_female_01.iff
																																																																coa_aclo_tech_gran.iff	dressed_trader_thug_male_twk_02.iff	dressed_criminal_thug_human_female_02.iff
																																																																coa_aclo_tech_hum_m1.iff	dressed_trader_thug_male_twk_03.iff	dressed_robber_human_female_01.iff
																																																																coa_aclo_tech_rod_f.iff	dressed_trader_thug_male_wke_01.iff	dressed_criminal_thug_human_male_01.iff
																																																																coa_aclo_saboteur_human_m.iff	dressed_trader_thug_male_wke_02.iff	dressed_criminal_thug_human_male_02.iff
																																																																coa_aclo_saboteur_zabrak_f.iff	dressed_trader_thug_male_wke_03.iff	dressed_robber_human_male_01.iff
																																																																coa_aclo_saboteur_nautolan.iff		dressed_criminal_thug_rodian_female_01.iff
																																																																coa_aclo_saboteur_quarren.iff		dressed_hooligan_rodian_female_01.iff
																																																																coa_aclo_saboteur_weequay_m.iff		dressed_criminal_thug_rodian_male_01.iff
																																																																coa_aclo_soldier_arcona1.iff		dressed_hooligan_rodian_male_01.iff
																																																																coa_aclo_soldier_bith_female_01.iff		dressed_criminal_thug_trandoshan_female_01.iff
																																																																coa_aclo_soldier_geonosian.iff		dressed_villain_trandoshan_female_01.iff
																																																																coa_aclo_soldier_hum_f_01.iff		dressed_criminal_thug_trandoshan_male_01.iff
																																																																coa_aclo_soldier_hum_m_01.iff		dressed_villain_trandoshan_male_01.iff
																																																																coa_aclo_soldier_trand.iff		dressed_goon_twk_female_01.iff
																																																																coa_aclo_soldier_twilek_female_01.iff		dressed_robber_twk_female_01.iff
																																																																		dressed_robber_twk_male_01.iff
																																																																		dressed_goon_twk_male_01.iff
																																																																		dressed_criminal_thug_zabrak_female_01.iff
																																																																		dressed_crook_zabrak_female_01.iff
																																																																		dressed_hoodlum_zabrak_female_01.iff
																																																																		dressed_ruffian_zabrak_female_01.iff
																																																																		dressed_criminal_thug_zabrak_male_01.iff
																																																																		dressed_crook_zabrak_male_01.iff
																																																																		dressed_hoodlum_zabrak_male_01.iff
																																																																		dressed_ruffian_zabrak_male_01.iff
