species_male	species_female	species_name
s	s	s
human_male	human_female	human
aqualish_male	aqualish_female	aqualish
bith_male	bith_female	bith
bothan_male	bothan_female	bothan
devaronian_male	human_female	devaronian
gran_male	aqualish_female	gran
ishi_tib_male	bith_female	ishi_tib
ithorian_male	bothan_female	ithorian
moncal_male	moncal_female	moncal
nikto_male	moncal_female	nikto
quarren_male	trandoshan_female	quarren
rodian_male	rodian_female	rodian
sullustan_male	rodian_female	sullustan
trandoshan_male	trandoshan_female	trandoshan
twilek_male	twilek_female	twilek
zabrak_male	zabrak_female	zabrak
human_male	human_female	human
aqualish_s02_male	aqualish_s02_female	aqualish
bith_male	bith_female	bith
bothan_male	bothan_female	bothan
devaronian_male	human_female	devaronian
gran_male	aqualish_female	gran
ishi_tib_male	bith_female	ishi_tib
ithorian_male	bothan_female	ithorian
moncal_male	moncal_female	moncal
nikto_male	moncal_female	nikto
quarren_male	trandoshan_female	quarren
rodian_male	rodian_female	rodian
sullustan_male	rodian_female	sullustan
trandoshan_male	trandoshan_female	trandoshan
twilek_male	twilek_female	twilek
zabrak_male	zabrak_female	zabrak
human_male	human_female	human
aqualish_s03_male	aqualish_s03_female	aqualish
bith_male	bith_female	bith
bothan_male	bothan_female	bothan
devaronian_male	human_female	devaronian
gran_male	aqualish_female	gran
ishi_tib_male	bith_female	ishi_tib
ithorian_male	bothan_female	ithorian
moncal_male	moncal_female	moncal
nikto_male	moncal_female	nikto
quarren_male	trandoshan_female	quarren
rodian_male	rodian_female	rodian
sullustan_male	rodian_female	sullustan
trandoshan_male	trandoshan_female	trandoshan
twilek_male	twilek_female	twilek
zabrak_male	zabrak_female	zabrak
