weapon1	weapon2	weapon3	weapon4
s	s	s	s
ranged/carbine/carbine_dh17_black.iff	melee/knife/knife_survival.iff	ranged/grenade/grenade_cryoban.iff	
ranged/pistol/pistol_geonosian_sonic_blaster_loot.iff	melee/polearm/lance_controllerfp.iff	ranged/grenade/grenade_fragmentation.iff	
ranged/pistol/pistol_srcombat.iff	melee/polearm/lance_vibrolance.iff	ranged/grenade/grenade_glop.iff	
ranged/pistol/pistol_striker.iff	melee/sword/sword_02.iff	ranged/grenade/grenade_cryoban.iff	
ranged/rifle/rifle_tenloss_dxr6_disruptor_loot.iff	melee/sword/sword_rantok.iff	ranged/grenade/grenade_fragmentation.iff	
ranged/rifle/rifle_laser.iff		ranged/grenade/grenade_glop.iff	
		ranged/grenade/grenade_cryoban.iff	
		ranged/grenade/grenade_fragmentation.iff	
		ranged/grenade/grenade_glop.iff	
		ranged/grenade/grenade_cryoban.iff	
		ranged/grenade/grenade_fragmentation.iff	
		ranged/grenade/grenade_glop.iff	
