weapon1	weapon2	weapon3	weapon4
s	s	s	s
ranged/carbine/carbine_laser.iff	melee/axe/axe_heavy_duty.iff	ranged/grenade/grenade_cryoban.iff	
ranged/pistol/pistol_cdef.iff	melee/axe/axe_vibroaxe.iff	ranged/grenade/grenade_fragmentation.iff	
ranged/pistol/pistol_d18.iff	melee/knife/knife_survival.iff	ranged/grenade/grenade_glop.iff	
ranged/pistol/pistol_dh17.iff	melee/knife/knife_vibroblade.iff	ranged/grenade/grenade_imperial_detonator.iff	
ranged/pistol/pistol_dl44.iff	melee/polearm/lance_staff_metal.iff	ranged/grenade/grenade_proton.iff	
ranged/pistol/pistol_dl44_metal.iff	melee/polearm/lance_vibrolance.iff	ranged/grenade/grenade_thermal_detonator.iff	
ranged/pistol/pistol_fwg5.iff	melee/polearm/polearm_vibro_axe.iff	ranged/grenade/grenade_cryoban.iff	
ranged/pistol/pistol_power5.iff	melee/special/vibroknuckler.iff	ranged/grenade/grenade_fragmentation.iff	
ranged/pistol/pistol_srcombat.iff	melee/sword/sword_blade_ryyk.iff	ranged/grenade/grenade_glop.iff	
ranged/pistol/pistol_striker.iff	melee/polearm/polearm_vibro_axe.iff	ranged/grenade/grenade_imperial_detonator.iff	
ranged/rifle/rifle_dlt20a.iff	melee/axe/axe_heavy_duty.iff	ranged/grenade/grenade_proton.iff	
ranged/rifle/rifle_laser.iff	melee/axe/axe_vibroaxe.iff	ranged/grenade/grenade_thermal_detonator.iff	
ranged/rifle/rifle_sg82.iff	melee/knife/knife_survival.iff	ranged/grenade/grenade_cryoban.iff	
ranged/rifle/rifle_t21.iff	melee/knife/knife_vibroblade.iff	ranged/grenade/grenade_glop.iff	
