mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
gnort		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
gnort						
gnort						
gnort						
gnort						
gnort						
gnort						
gnort						
gnort						
gnort						
gnort						
gnort						
gnort						
gnort						
gnort
gnort
gnort
gnort
gnort
gnort
gnort
gnort
gnort
