mobiles	spawnLimit	veryEasy	easy	medium	hard	veryHard
s	i[-1]	s	s	s	s	s
narglatch		object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff	object/tangible/lair/base/earthmound_light.iff
narglatch_cub						
narglatch_female						
narglatch_female						
narglatch_female						
narglatch_female						
narglatch_cub						
narglatch_cub						
narglatch_cub						
narglatch						
narglatch						
narglatch						
narglatch						
narglatch						
narglatch
narglatch
narglatch
narglatch
narglatch
