mobiles	spawnLimit	comments	buildingsToSpawn	veryEasy	easy	medium	hard	veryHard
s	i[-1]	c	c	s	s	s	s	s
assault_trooper		This and several other NPC lairs (created on 12/13/2002) are just copies of the Jawa_camp.tab	Everything to the right of this column deals with the types of buildings each difficulty level range is allowed to spawn.  One item is chosen randomly from the list.	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_small.iff	object/building/poi/hq/imperial_base_large.iff
at_st		You will need to update the structure spawn list with appropriate theatres as they come online			object/building/poi/hq/imperial_base_large.iff	object/building/poi/hq/imperial_base_large.iff	object/building/poi/hq/imperial_base_large.iff	
storm_commando								
stormtrooper								
stormtrooper_bombardier								
stormtrooper_dewback								
stormtrooper_medic								
stormtrooper_rifleman								
stormtrooper_sniper								
stormtrooper_squad_leader								
stormtrooper								
stormtrooper								
stormtrooper								
stormtrooper								
