abilityName	abilityCrc	description	type	prereq	trainingCost	duration	actionName	statMod	statModVal	statModPct	scriptVar	scriptVarVal	selfBuffName	targetBuffName	masterBuffName	actionCost	mindCost	actionAddFlat	mindAddFlat
s[required]	h	c	"e(INNATE=1,TRIGGERED=2,ACTION=3)[INNATE]"	s	i[100]	i[0]	s	"e(NONE=-1,HEALTH=0,CONSTITUTION=1,ACTION=2,STAMINA=3,MIND=4,WILLPOWER=5)[NONE]"	i[0]	f[0.0]	s	f	s	s	s	f[0.0]	f[0.0]	i[0]	i[0]
healthBoost_1	healthBoost_1	inc health	INNATE		5			HEALTH	100	0.04									
healthBoost_2	healthBoost_2	inc health	INNATE	healthBoost_1	15			HEALTH	250	0.08									
healthBoost_3	healthBoost_3	inc health	INNATE	healthBoost_2	45			HEALTH	500	0.12									
regenBoost_1	regenBoost_1	inc regen	INNATE		5			CONSTITUTION	25	0.04									
regenBoost_2	regenBoost_2	inc regen	INNATE	regenBoost_1	15			CONSTITUTION	50	0.08									
regenBoost_3	regenBoost_3	inc regen	INNATE	regenBoost_2	45			CONSTITUTION	100	0.12									
toHitBoost_1	toHitBoost_1	inc to hit	INNATE		5						ai.combat.toHitBonus	75							
toHitBoost_2	toHitBoost_2	inc to hit	INNATE	toHitBoost_1	15						ai.combat.toHitBonus	150							
toHitBoost_3	toHitBoost_3	inc to hit	INNATE	toHitBoost_2	45						ai.combat.toHitBonus	300							
defenseBoost_1	defenseBoost_1	inc def	INNATE		5						ai.combat.defenseBonus	75							
defenseBoost_2	defenseBoost_2	inc def	INNATE	defenseBoost_1	15						ai.combat.defenseBonus	150							
defenseBoost_3	defenseBoost_3	inc def	INNATE	defenseBoost_2	45						ai.combat.defenseBonus	300							
armorBoost_1	armorBoost_1	inc armor	INNATE		5						ai.combat.genProtectionBonus	1000							
armorBoost_2	armorBoost_2	inc armor	INNATE	armorBoost_1	15						ai.combat.genProtectionBonus	2000							
armorBoost_3	armorBoost_3	inc armor	INNATE	armorBoost_2	45						ai.combat.genProtectionBonus	3000
critSaveBoost_1	critSaveBoost_1	inc crit save	INNATE		5						ai.combat.critSave	0.02
critSaveBoost_2	critSaveBoost_2	inc crit save	INNATE	critSaveBoost_1	15						ai.combat.critSave	0.04
critSaveBoost_3	critSaveBoost_3	inc crit save	INNATE	critSaveBoost_2	45						ai.combat.critSave	0.06
critHitBoost_1	critHitBoost_1	inc crit hit	INNATE		5						ai.combat.critChance	0.02
critHitBoost_2	critHitBoost_2	inc crit hit	INNATE	critHitBoost_1	15						ai.combat.critChance	0.04
critHitBoost_3	critHitBoost_3	inc crit hit	INNATE	critHitBoost_2	45						ai.combat.critChance	0.06
tauntBoost_1	tauntBoost_1	inc taunt	INNATE		5						ai.combat.aggroBonusFlat	250
tauntBoost_2	tauntBoost_2	inc taunt	INNATE	tauntBoost_1	15						ai.combat.aggroBonusFlat	500
tauntBoost_3	tauntBoost_3	inc taunt	INNATE	tauntBoost_2	45						ai.combat.aggroBonusFlat	750
tauntReduction_1	tauntReduction_1	dec taunt	INNATE		5						ai.combat.aggroReduction	10
tauntReduction_2	tauntReduction_2	dec taunt	INNATE	tauntReduction_1	15						ai.combat.aggroReduction	20
tauntReduction_3	tauntReduction_3	dec taunt	INNATE	tauntReduction_2	45						ai.combat.aggroReduction	30
damageBoost_1	damageBoost_1	inc damage	INNATE		5						ai.combat.damagePctBonus	0.08
damageBoost_2	damageBoost_2	inc damage	INNATE	damageBoost_1	15						ai.combat.damagePctBonus	0.12
damageBoost_3	damageBoost_3	inc damage	INNATE	damageBoost_2	45						ai.combat.damagePctBonus	0.18
attackSpeedBoost_1	attackSpeedBoost_1	inc atk speed	INNATE		5						ai.combat.attackSpdPctBonus	0.08							
attackSpeedBoost_2	attackSpeedBoost_2	inc atk speed	INNATE	attackSpeedBoost_1	15						ai.combat.attackSpdPctBonus	0.12							
attackSpeedBoost_3	attackSpeedBoost_3	inc atk speed	INNATE	attackSpeedBoost_2	45						ai.combat.attackSpdPctBonus	0.18							
