Scene	Top Left Chunk X	Top Left Chunk Z	Bottom Right Chunk X	Bottom Right Chunk Z	City Server Id	Wilderness Server Id
s	i	i	i	i	i	i
corellia	-5700	-3000	-4500	-1800	1	1
dantooine	-700	-700	500	500	1	1
dathomir	-100	3900	1100	5100	1	1
endor	-700	-600	500	600	1	1
lok	-200	4400	1000	5600	1	1
naboo	-6100	3600	-4900	4800	1	1
rori	4600	5200	5800	6400	1	1
talus	-200	-3600	1000	-2400	1	1
tatooine	3200	1700	4400	2900	1	1
yavin4	-200	-1300	1000	-100	1	1
dungeon1	600	500	1400	1300	1	1
tutorial	600	500	1400	1300	1	1
adventure1	-100	-100	200	200	1	1
adventure2	-100	-100	200	200	1	1
space_nova_orion	-100	-100	200	200	1	1
