TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/furniture/tatooine/frn_tato_table_small_style_01.iff	-7.04614	-0.237235	-0.552734	0
object/static/structure/tatooine/jawa/tent_jawa_01_large.iff	2.81226	-0.237235	0.121582	-1.25E-06
object/static/structure/tatooine/jawa/tent_jawa_01_small.iff	-7.84106	-0.237235	0.414795	-179.999848
object/static/structure/tatooine/jawa/tent_jawa_01_small.iff	4.73572	-0.237235	-12.0876	90.00021046
object/static/structure/tatooine/jawa/tent_jawa_01_small.iff	3.29871	-0.237235	13.4023	-90.00021046
object/static/structure/general/sandcrawler_debris_01.iff	-4.56506	-0.237235	-7.91138	-41.82591904
object/static/structure/general/campfire_fresh.iff	-4.65247	-0.237235	0.871338	0
object/static/structure/general/campfire_smoldering.iff	3.16687	-0.237235	8.08301	179.999848
object/static/structure/general/campfire_ash.iff	3.82556	-0.237235	-7.73901	0
object/static/structure/general/prp_engine_component.iff	-1.26355	0.996057	-3.63477	86.51662706
object/static/structure/general/prp_engine.iff	-0.682861	-0.237235	-1.90576	95.11099399
object/static/structure/general/prp_junk_s8.iff	7.28711	0.173862	2.35205	0
object/static/structure/general/prp_junk_s6.iff	5.61694	0.560327	-0.442139	90.00021046
object/static/structure/general/prp_junk_s5.iff	-8.56226	1.69234	5.57275	179.999848
object/static/structure/tatooine/debris_tatt_crate_1.iff	3.66418	-0.237235	-12.0859	67.60901983
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	5.27466	-0.237235	-11.8953	67.60901983
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	4.38306	-0.237235	-13.9724	67.60901983
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	5.75989	-0.237235	-13.9678	67.60901983
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	4.06567	-0.237235	-10.9395	32.08563653
object/static/structure/tatooine/debris_tatt_radar_dish.iff	-5.13135	-1.25276	10.5195	2.826933654
object/static/flora/flora_tree_tato_touchnot.iff	-4.52612	-0.237235	10.2297	103.1324031
object/static/flora/flora_plant_tato_hubba.iff	-5.40063	-0.237235	11.2371	0
object/static/flora/flora_plant_tato_pika.iff	-5.56372	-0.237235	8.88989	0
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	3.36206	-0.237235	15.0303	-139.801702
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	2.23474	-0.237235	13.8708	-139.801702
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	2.45825	-0.237235	11.8535	-139.801702
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	4.34338	-0.237235	12.4995	-49.80172074
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	3.18384	-0.237235	13.6279	-49.80172074
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	1.16711	-0.237235	13.4038	-49.80172074
object/static/structure/tatooine/debris_tatt_crate_1.iff	4.08752	-0.237235	14.3413	-139.801702
object/static/structure/tatooine/debris_tatt_crate_1.iff	4.99255	-0.237235	13.926	40.19831784
object/static/structure/tatooine/debris_tatt_crate_1.iff	2.62488	0.648206	13.8181	-82.5059225
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	2.31238	-0.237235	12.7751	-155.2715625
object/static/structure/tatooine/debris_tatt_crate_1.iff	3.28796	-0.237235	-12.978	-17.18873385
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	3.24292	-0.237235	-11.3569	-17.18873385
object/static/structure/tatooine/debris_tatt_crate_1.iff	5.0531	-0.237235	-12.9729	-28.25747631
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	4.69641	-0.237235	-11.3909	-28.25747631
object/static/structure/tatooine/debris_tatt_crate_1.iff	4.06799	-0.237235	-12.9663	171.7962382
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	6.24158	-0.237235	-12.866	67.60901983
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	6.52393	-0.237235	-13.6316	67.60901983
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	6.25232	0.648206	-13.5144	108.8619811
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	-1.69971	-0.237235	-2.50781	154.1256469
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	-1.15479	-0.237235	-3.40161	57.86873731
object/static/structure/general/prp_engine.iff	-1.71228	0.901188	-2.4707	95.11099399
object/static/structure/general/prp_engine_component.iff	-1.40967	0.964434	-3.47974	86.51662706
object/static/structure/general/prp_engine_component.iff	-1.36768	0.964434	-3.24927	86.51662706
object/static/structure/general/prp_junk_s8.iff	5.62244	0.173862	2.7832	0
object/static/structure/general/prp_junk_s8.iff	4.60974	0.173862	2.88086	-90.00021046
object/static/structure/general/prp_junk_s8.iff	3.25146	0.173862	3.10498	-90.00021046
object/static/structure/general/prp_junk_s8.iff	5.05212	0.932812	3.01343	90.00021046
object/static/item/item_con_ration_kit_lg.iff	-6.9939	0.395223	-0.677734	120.8940948
object/static/item/item_con_ration_kit_lg.iff	-7.3396	0.395223	-0.419922	-101.9864875
object/static/item/item_con_ration_kit_m.iff	-7.10425	0.395223	-0.244629	0
object/static/item/item_con_ration_kit_m.iff	-6.91089	0.395223	-0.267334	20.62648062
object/static/item/item_con_ration_kit_m.iff	-6.77539	0.395223	-0.424072	-81.9329647
object/static/structure/tatooine/debris_tatt_crate_1.iff	-8.27625	-0.237235	-0.854248	-41.25290395
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-8.97717	-0.237235	0.607666	-41.25290395
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	-9.49084	-0.237235	-0.845215	-76.77634455
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-8.83008	-0.237235	-1.48804	-126.0507149
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-9.2677	-0.237235	-0.102051	-137.1196866

