TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/flora/flora_plant_tato_falotil.iff	-0.430664	0.168655	1.65771	-35.52344059
object/static/flora/flora_plant_tato_falotil_bare.iff	-1.17065	0.168655	1.21191	-86.51720002
object/static/flora/flora_plant_tato_falotil_bare.iff	0.233765	0.168655	0.45752	-27.50203146
object/static/flora/flora_plant_tato_hubba.iff	0.0797119	0.168655	1.15601	-96.49812481
object/static/structure/general/tato_cave_rock_med.iff	0.924438	0.168655	1.02637	-59.0146529
object/static/structure/general/tato_cave_rock_med.iff	0.346313	0.168655	-1.50171	0
object/static/structure/general/tato_cave_stalagmite_large.iff	2.02637	-0.590294	-0.497314	0
object/static/structure/general/tato_cave_stalagmite_med.iff	-2.94812	-0.590294	-1.29565	-17.82185222
object/static/flora/flora_plant_tato_falotil_bare.iff	0.938354	0.168655	-2.21631	58.4416951

