TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/general/camp_cot_s01.iff	0.958374	0.0647268	5.22778	0
object/static/structure/general/camp_cot_s01.iff	0.958374	0.0647268	1.22778	0
object/static/structure/general/camp_cot_s01.iff	0.958374	0.0647268	3.22778	0
object/tangible/furniture/imperial/data_terminal_s1.iff	0.506958	0.0647268	-2.48633	0
object/tangible/poi/theater/poi_objective_spawner.iff	-4.4292	0.0647268	-6.50342	0
object/static/structure/tatooine/jawa/tent_jawa_01_med.iff	0.237549	0.0647268	1.31836	0
object/static/installation/mockup_power_generator_wind_style_1.iff	-0.80603	0.0647268	-6.60376	0
object/static/structure/general/streetlamp_small_red_style_02.iff	1.76196	-1.16509	-1.3335	0
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-1.04163	0.0647268	5.22778	-89.9993
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-1.04163	0.0647268	3.22778	-89.9993
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	-1.04163	0.0647268	1.22778	-89.9999
object/tangible/poi/theater/poi_mob_spawner.iff	7.01904	0.0647268	-1.1521	0.00E+00
