TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/general/camp_tent_s01.iff	9.09375	0	-8.17798	-53.9037
object/tangible/poi/theater/poi_objective_spawner.iff	5.86865	0	0.307617	-1.79E+02
object/tangible/poi/theater/poi_mob_spawner.iff	-2.61951	0	-7.29028	-90
object/tangible/furniture/imperial/data_terminal_s1.iff	1.77368	0	3.62842	-3.67E-06
object/static/structure/general/camp_tent_s01.iff	2.12427	0	-8.30444	46.9368
object/static/structure/general/camp_lawn_chair_s01.iff	1.55298	0	5.87646	180
object/static/structure/general/camp_lawn_chair_s01.iff	-0.826904	0	5.89209	2.53E-05
object/static/structure/general/streetlamp_small_red_style_01.iff	5.68335	0	-5.80981	-90
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	4.22949	0	6.07886	180
object/static/structure/tatooine/jawa/tent_jawa_01_large.iff	2.99463	0	2.83789	-90
object/static/structure/corellia/corl_power_box_node.iff	0.425415	0	0.909912	-90
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	4.22974	0	6.54541	180
object/static/structure/corellia/corl_banner_govt_tall_s01.iff	9.03967	0	-1.07446	-89.9999
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	0.438232	0	5.88379	-90
object/static/structure/corellia/corl_banner_govt_tall_s01.iff	8.82239	0	6.60352	-90
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	4.21558	0	5.61353	-180
object/static/structure/corellia/corl_power_arial_prime.iff	-2.73816	0	-0.0830078	-90
