TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	-12.77	0.00	4.79	-32.66
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_01.iff	-12.50	0.00	7.22	-140.37
object/tangible/furniture/tatooine/frn_tato_chair_cafe_style_02.iff	-14.51	0.00	6.14	108.29
object/tangible/poi/theater/poi_objective_spawner.iff	10.52	0.00	-6.34	0.00
object/tangible/poi/theater/poi_mob_spawner.iff	-0.03	0.00	0.00	0.00
object/static/structure/corellia/corl_imprv_column_s04.iff	-8.74	0.00	-12.21	0.00
object/static/structure/corellia/corl_imprv_column_s04.iff	6.26	0.00	-12.21	0.00
object/static/structure/corellia/corl_imprv_column_s04.iff	6.26	0.00	12.79	0.00
object/static/structure/corellia/corl_imprv_column_s04.iff	-8.74	0.00	12.79	0.00
