TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/general/camp_lawn_chair_s01.iff	0.19751	-0.0388737	5.06274	157.746
object/static/structure/general/camp_stool_short_s01.iff	0.0168457	-0.0388737	0.839844	-48.7014
object/static/structure/general/camp_tent_s01.iff	-5.51221	-0.0388737	3.31934	95.1566
object/static/structure/general/camp_tent_s01.iff	5.99976	-0.0388737	3.18188	-90
object/static/structure/general/camp_campfire_logs_smoldering_s01.iff	0.330566	-0.0388737	3.06152	0
object/tangible/poi/theater/poi_mob_spawner.iff	1.72534	-0.0388737	0.611328	0
object/tangible/poi/theater/poi_objective_spawner.iff	-5.65942	-0.0388737	-7.45117	0
object/static/structure/tatooine/debris_tatt_pipe_narrow_1.iff	-6.82153	-0.0388737	-3.00146	0
object/static/structure/general/poi_tato_corral_pen_16x8_s01.iff	0.19165	-0.0388737	-5.30762	180
object/static/structure/tatooine/debris_tatt_pipe_narrow_1.iff	7.17847	0.66085	-7.00146	0
object/static/structure/tatooine/debris_tatt_pipe_narrow_1.iff	7.17847	-0.0388737	-3.00146	0
object/static/structure/tatooine/debris_tatt_pipe_narrow_1.iff	-6.82153	-0.0388737	-7.00146	0
