TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_mob_spawner.iff	2.63025	0.0439196	2.625	-89.9999
object/tangible/poi/theater/poi_objective_spawner.iff	-4.22766	0.0755424	4.18066	-90
object/tangible/furniture/imperial/table_s1.iff	-4.0155	0.0755424	-1.30933	0
object/tangible/furniture/all/frn_all_toolchest_med_s01.iff	-5.80273	0.0755424	0.0793457	63.5983
object/static/structure/general/camp_cot_s01.iff	0.500488	0.0755424	-1.84595	-90
object/static/structure/general/camp_cot_s01.iff	4.50049	0.0755424	-1.84595	-90
object/static/structure/general/camp_cot_s01.iff	2.50049	0.0755424	-1.84595	-90
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	4.51489	0.0755424	-3.18945	0
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	2.50891	0.0755424	-3.18433	0
object/static/structure/tatooine/debris_tatt_crate_metal_1.iff	0.454224	0.0755424	-3.16895	0
object/static/structure/general/streetlamp_medium_style_02.iff	-3.96619	-1.25262	-1.48096	0.00E+00
object/static/structure/tatooine/jawa/tent_jawa_01_small.iff	-4.30603	0.0755424	0.00512695	0
