TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/static/structure/tatooine/debris_tatt_radar_dish.iff	-2.65601	0.450801	0.418701	0
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	1.21313	-0.0562906	1.91162	0
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff	-0.0351563	-0.0562906	-2.72778	0
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	0.493408	0.33189	-1.70386	-96.25690958
object/static/structure/tatooine/skeleton_greater_krayt_spine_small.iff	2.64478	-0.501235	-1.79419	60.08493806
object/static/structure/general/skeleton_ithorian_headandbody.iff	-1.93018	-0.0562906	-0.158691	0
object/static/structure/general/skeleton_bith_head.iff	-0.820435	-0.0562906	1.23486	0
object/static/structure/general/skeleton_human_head.iff	1.09045	-0.0562906	2.81836	0

