TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_mob_spawner.iff	2.82	0.00	3.84	0.00
object/tangible/poi/theater/poi_objective_spawner.iff	-1.62	0.00	11.96	0.00
object/static/structure/dantooine/dant_large_rock_hut.iff	-8.43	0.00	4.34	-93.39
object/static/structure/dantooine/dant_gate.iff	8.47	0.00	14.22	31.51
object/static/structure/dantooine/dant_fence_8m.iff	-0.55	0.00	-1.51	34.95
object/static/structure/dantooine/dant_fence_8m.iff	12.39	0.00	9.75	55.58
object/static/structure/dantooine/dant_fence_8m.iff	2.53	0.00	15.06	-1.15
object/static/structure/dantooine/dant_fence_8m.iff	13.27	0.00	2.54	-70.47
object/static/structure/dantooine/dant_fence_8m.iff	-4.67	0.00	12.55	-38.96
object/static/structure/dantooine/dant_large_rock_hut.iff	8.36	0.00	-5.11	155.45
