TEMPLATE	X	Y	Z	YAW
s	f	f	f	f
object/tangible/poi/theater/poi_mob_spawner.iff	14.49	0.00	4.55	0.00
object/tangible/poi/theater/poi_objective_spawner.iff	-2.38	0.00	-3.48	0.00
object/static/structure/dantooine/dant_jedi_temple_pillar_med.iff	2.62	0.00	-5.31	-90.00
object/static/structure/dantooine/dant_jedi_temple_pillar_sm.iff	-4.19	0.00	-5.37	0.00
object/static/structure/dantooine/dant_jedi_wall_2.iff	2.87	0.00	9.17	180.00
object/static/structure/dantooine/dant_jedi_temple_pillar_med.iff	-4.01	0.00	1.95	0.00
object/static/structure/dantooine/dant_jedi_temple_pillar.iff	2.57	0.00	1.82	0.00
object/static/structure/dantooine/dant_totem_pole.iff	13.01	0.00	-3.03	-86.52
object/static/structure/dantooine/dant_totem_pole.iff	-12.70	0.00	-1.35	78.50
object/static/structure/dantooine/dant_jedi_wall_1.iff	3.21	0.00	13.20	-90.00
